mode,null_seed,feature,threshold,bucket,friction,trades,weeks,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,total_slippage,total_transaction_costs,raw_gross
NULL,303,OI_CHANGE_IMB,0.4,0,stress,246,166,-46151.39464037738,-278.02044964082756,-483.25399147500036,0.42168674698795183,-4191.405074818501,-6650.843459430131,21001.00000000008,26968.394640377286,1818.0
NULL,303,OI_CHANGE_IMB,0.4,1,stress,256,164,-69981.55814258796,-426.71681794260945,-381.651900522501,0.38414634146341464,-3744.77198375,-4092.363999400002,20552.000000000102,31002.308142587855,-18427.250000000007
NULL,303,JOINT,0.2,0,stress,324,196,-46746.23948735389,-238.50122187425453,-669.1227807325004,0.3979591836734694,-4888.44282815,-7284.621967835002,27588.500000000106,35514.739487353785,16356.999999999989
NULL,303,JOINT,0.2,1,stress,274,172,-63419.98131911151,-368.7208216227413,-313.70715761000105,0.38953488372093026,-3004.833768535001,-5272.791419475003,22120.000000000113,33088.23131911138,-8211.75000000001
NULL,303,JOINT,0.4,0,stress,80,69,-7108.905880433103,-103.02762145555222,-431.8913445699998,0.43478260869565216,-4057.09692270998,-4361.382726095,6649.500000000025,8714.655880433074,8255.250000000004
NULL,303,JOINT,0.4,1,stress,110,94,-24088.012490797082,-256.2554520297562,-280.86143002125016,0.35106382978723405,-3004.833768535001,-3004.833768535001,8712.000000000051,13181.012490797017,-2195.0000000000127
NULL,404,VOL_IMB,0.2,0,stress,363,211,-22447.041755184327,-106.38408414779299,-430.1404474675016,0.4265402843601896,-5812.342864475,-9969.433524675002,31103.50000000011,39657.54175518423,48314.0
NULL,404,VOL_IMB,0.2,1,stress,275,176,-69338.67853658489,-393.96976441241407,-522.4616531937511,0.35795454545454547,-4221.713736055,-4221.713736055,22240.000000000146,33296.42853658473,-13802.25
NULL,404,VOL_IMB,0.4,0,stress,90,78,-25552.631704563108,-327.5978423661937,-486.3823345536908,0.4230769230769231,-5812.342864475,-5812.342864475,7534.750000000029,9829.38170456308,-8188.4999999999945
NULL,404,VOL_IMB,0.4,1,stress,89,79,-24454.099138648267,-309.5455587170666,-445.4260244850003,0.31645569620253167,-2159.2624703980005,-2445.4371409700007,7112.000000000043,10777.849138648231,-6564.249999999994
NULL,404,OI_CHANGE_IMB,0.2,0,stress,483,234,-91730.05392211216,-392.00877744492374,-685.4499565862508,0.36324786324786323,-5060.239699017501,-9538.668842697503,40755.00000000012,52802.30392211204,1827.249999999991
NULL,404,OI_CHANGE_IMB,0.2,1,stress,403,208,-89031.45743788197,-428.03585306674023,-471.7704767000033,0.36538461538461536,-4224.511297729997,-4742.685268660001,33080.00000000015,48902.207437881836,-7049.250000000002
NULL,404,OI_CHANGE_IMB,0.4,0,stress,249,169,-69145.83836586116,-409.1469725790601,-624.3585371400009,0.38461538461538464,-5060.239699017501,-7007.914187730004,20577.750000000076,27093.338365861084,-21474.750000000007
NULL,404,OI_CHANGE_IMB,0.4,1,stress,260,169,-58634.444085916955,-346.94937328944945,-311.98849442999904,0.38461538461538464,-4224.511297729997,-4224.511297729997,21776.000000000073,31982.94408591688,-4875.500000000007
NULL,404,JOINT,0.2,0,stress,329,201,-24423.595215885034,-121.510423959627,-675.2027430100006,0.40298507462686567,-5328.111906650001,-7007.914187730004,27800.000000000084,35992.84521588494,39369.24999999999
NULL,404,JOINT,0.2,1,stress,292,182,-75823.42706441584,-416.6122366176695,-304.35579714750054,0.3516483516483517,-4224.511297729997,-4224.511297729997,23776.00000000011,35375.17706441572,-16672.250000000007
NULL,404,JOINT,0.4,0,stress,83,68,-38518.27662480574,-566.4452444824374,-563.8803101687502,0.38235294117647056,-5060.239699017501,-7205.937073082501,6922.500000000026,8944.526624805707,-22651.250000000007
NULL,404,JOINT,0.4,1,stress,110,97,-24164.44503507358,-249.11799005230495,-231.305130625,0.3917525773195876,-2656.2066001900007,-2656.2066001900007,9072.000000000053,13476.695035073524,-1615.7499999999973
NULL,505,VOL_IMB,0.2,0,stress,373,211,-59522.59471177894,-282.0976052690945,-513.7716510350006,0.4028436018957346,-5328.111906650001,-7942.081466282502,30979.75000000011,40642.09471177884,12099.249999999982
NULL,505,VOL_IMB,0.2,1,stress,278,179,-60521.55537839893,-338.10924792401636,-406.1425749850001,0.39106145251396646,-4147.393477685,-3593.3521083150026,22808.000000000113,33891.8053783988,-3821.7500000000164
NULL,505,VOL_IMB,0.4,0,stress,90,79,-1481.9572337237141,-18.758952325616633,-484.0295811875009,0.4177215189873418,-4558.9593829291,-5839.785123737462,7630.750000000036,9999.957233723684,16148.750000000004
NULL,505,VOL_IMB,0.4,1,stress,79,71,-22506.099062767975,-316.98731074321097,-476.07143716999997,0.39436619718309857,-3004.833768535001,-3318.0727525370953,6304.000000000015,9600.599062767948,-6601.500000000007
NULL,505,OI_CHANGE_IMB,0.2,0,stress,473,235,-16940.327785334306,-72.08650121418856,-224.1145234875002,0.4595744680851064,-5328.111906650001,-7355.4639650425015,39458.250000000146,52109.577785334164,74627.50000000003
NULL,505,OI_CHANGE_IMB,0.2,1,stress,405,216,-106386.78964006333,-492.53143351881164,-526.8165038462529,0.3611111111111111,-4401.433222085001,-4866.862624400004,33312.000000000175,49214.53964006314,-23860.250000000007
NULL,505,OI_CHANGE_IMB,0.4,0,stress,248,166,-58936.28813754536,-355.03788034665877,-623.0534005950005,0.39156626506024095,-5328.111906650001,-7355.4639650425015,20574.25000000007,27164.538137545296,-11197.5
NULL,505,OI_CHANGE_IMB,0.4,1,stress,256,175,-57737.752274745486,-329.9300129985457,-484.8628470950006,0.3657142857142857,-4401.433222085001,-4401.433222085001,21224.000000000124,31251.252274745362,-5262.4999999999945
NULL,505,JOINT,0.2,0,stress,335,201,-25713.824382888233,-127.92947454173255,-524.995151562501,0.42786069651741293,-5328.111906650001,-7355.4639650425015,27816.750000000102,36584.82438288814,38687.75
NULL,505,JOINT,0.2,1,stress,291,184,-70338.29079950566,-382.27331956253073,-536.9052834175021,0.32608695652173914,-4401.433222085001,-4401.433222085001,24376.000000000124,35636.04079950554,-10326.249999999989
NULL,505,JOINT,0.4,0,stress,81,77,-32953.29839927573,-427.9649142763081,-760.7979561042712,0.36363636363636365,-4501.75654214,-4501.75654214,6791.500000000027,8814.2983992757,-17347.500000000004
NULL,505,JOINT,0.4,1,stress,105,86,-17488.634674098063,-203.35621714067514,-424.9934308075014,0.38372093023255816,-2718.9143194000003,-3565.8845660100023,8752.000000000047,12658.634674098026,3922.000000000012
