day,bucket,status
2025-12-24,1,MISSING_FEATURE_LEGS
2025-12-26,1,MISSING_FEATURE_LEGS
2025-12-31,1,MISSING_FEATURE_LEGS
2026-01-01,1,MISSING_FEATURE_LEGS
2026-01-02,1,MISSING_FEATURE_LEGS
2026-01-07,1,MISSING_FEATURE_LEGS
2026-01-08,1,MISSING_FEATURE_LEGS
2026-01-09,1,MISSING_FEATURE_LEGS
2026-01-14,1,MISSING_FEATURE_LEGS
2026-01-16,1,MISSING_FEATURE_LEGS
2026-01-21,1,MISSING_FEATURE_LEGS
2026-01-22,1,MISSING_FEATURE_LEGS
2026-01-23,1,MISSING_FEATURE_LEGS
2026-01-28,1,MISSING_FEATURE_LEGS
2026-01-29,1,MISSING_FEATURE_LEGS
2026-01-30,1,MISSING_FEATURE_LEGS
2026-02-01,1,INVALID_FEATURE_VALUES
2026-02-03,1,MISSING_FEATURE_LEGS
2026-02-04,0,INVALID_FEATURE_VALUES
2026-02-04,1,MISSING_FEATURE_LEGS
2026-02-05,1,MISSING_FEATURE_LEGS
2026-02-06,1,MISSING_FEATURE_LEGS
2026-02-11,1,MISSING_FEATURE_LEGS
2026-02-12,1,MISSING_FEATURE_LEGS
2026-02-13,1,MISSING_FEATURE_LEGS
2026-02-18,1,MISSING_FEATURE_LEGS
2026-02-19,1,MISSING_FEATURE_LEGS
2026-02-25,1,MISSING_FEATURE_LEGS
2026-02-26,1,MISSING_FEATURE_LEGS
2026-02-27,1,MISSING_FEATURE_LEGS
2026-03-04,1,MISSING_FEATURE_LEGS
2026-03-05,1,MISSING_FEATURE_LEGS
2026-03-06,1,MISSING_FEATURE_LEGS
2026-03-11,1,MISSING_FEATURE_LEGS
2026-03-12,1,MISSING_FEATURE_LEGS
2026-03-13,1,MISSING_FEATURE_LEGS
2026-03-18,1,MISSING_FEATURE_LEGS
2026-03-19,1,MISSING_FEATURE_LEGS
2026-03-25,1,MISSING_FEATURE_LEGS
2026-03-27,1,MISSING_FEATURE_LEGS
2026-04-01,1,MISSING_FEATURE_LEGS
2026-04-02,1,MISSING_FEATURE_LEGS
2026-04-08,0,INVALID_FEATURE_VALUES
2026-04-08,1,MISSING_FEATURE_LEGS
2026-04-09,1,MISSING_FEATURE_LEGS
2026-04-10,1,MISSING_FEATURE_LEGS
2026-04-15,1,MISSING_FEATURE_LEGS
2026-04-16,1,MISSING_FEATURE_LEGS
2026-04-17,1,MISSING_FEATURE_LEGS
2026-04-22,1,MISSING_FEATURE_LEGS
2026-04-23,1,MISSING_FEATURE_LEGS
2026-04-24,1,MISSING_FEATURE_LEGS
2026-04-29,1,MISSING_FEATURE_LEGS
2026-04-30,1,MISSING_FEATURE_LEGS
2026-05-06,0,INVALID_FEATURE_VALUES
2026-05-06,1,MISSING_FEATURE_LEGS
2026-05-07,1,MISSING_FEATURE_LEGS
2026-05-08,1,MISSING_FEATURE_LEGS
2026-05-13,1,MISSING_FEATURE_LEGS
2026-05-14,1,MISSING_FEATURE_LEGS
2026-05-15,1,MISSING_FEATURE_LEGS
2026-05-20,1,MISSING_FEATURE_LEGS
2026-05-21,1,MISSING_FEATURE_LEGS
2026-05-22,1,MISSING_FEATURE_LEGS
2026-05-27,1,MISSING_FEATURE_LEGS
2026-06-04,0,MISSING_FEATURE_LEGS
2026-06-04,1,MISSING_FEATURE_LEGS
2026-06-05,0,MISSING_FEATURE_LEGS
2026-06-05,1,MISSING_FEATURE_LEGS
2026-06-08,0,MISSING_FEATURE_LEGS
2026-06-08,1,MISSING_FEATURE_LEGS
2026-06-09,0,MISSING_FEATURE_LEGS
2026-06-09,1,MISSING_FEATURE_LEGS
2026-06-10,0,MISSING_FEATURE_LEGS
2026-06-10,1,MISSING_FEATURE_LEGS
2026-06-11,0,MISSING_FEATURE_LEGS
2026-06-11,1,MISSING_FEATURE_LEGS
2026-06-12,0,MISSING_FEATURE_LEGS
2026-06-12,1,MISSING_FEATURE_LEGS
2026-06-15,0,MISSING_FEATURE_LEGS
2026-06-15,1,MISSING_FEATURE_LEGS
2026-06-16,0,MISSING_FEATURE_LEGS
2026-06-16,1,MISSING_FEATURE_LEGS
2026-06-17,1,MISSING_FEATURE_LEGS
2026-06-18,1,MISSING_FEATURE_LEGS
2026-06-19,1,MISSING_FEATURE_LEGS
