day,expiry,bucket,feature,threshold,side,friction,raw_gross,execution_gross,slippage_cost,transaction_costs,net_pnl
2024-12-02,2024-12-12,1,VOL_IMB,0.2,PUT,base,-1897.5000000000005,-1957.5,59.999999999999545,130.852736825,-2088.352736825
2024-12-09,2024-12-19,1,VOL_IMB,0.2,PUT,base,735.0000000000008,675.0000000000042,59.99999999999659,149.63494838,525.3650516200042
2024-12-17,2024-12-26,1,VOL_IMB,0.2,PUT,base,2670.000000000002,2610.0000000000055,59.99999999999636,159.32963366,2450.6703663400053
2024-12-18,2024-12-26,1,VOL_IMB,0.2,PUT,base,1368.75,1308.7500000000034,59.99999999999659,145.5746692475,1163.1753307525034
2025-01-02,2025-01-09,1,VOL_IMB,0.2,PUT,base,-3982.5,-4042.4999999999964,59.99999999999636,122.04039773,-4164.540397729997
2025-01-15,2025-01-23,1,VOL_IMB,0.2,PUT,base,-356.25000000000114,-416.2499999999998,59.999999999998636,134.62239049250002,-550.8723904924998
2025-01-23,2025-01-30,1,VOL_IMB,0.2,PUT,base,-1184.9999999999998,-1244.9999999999998,60.0,125.01457438999999,-1370.0145743899998
2025-01-27,2025-02-06,1,VOL_IMB,0.2,CALL,base,-963.75,-1023.7499999999959,59.99999999999591,174.0723029975,-1197.8223029974959
2025-01-29,2025-02-06,1,VOL_IMB,0.2,PUT,base,-866.2500000000032,-926.2499999999995,59.99999999999636,161.8497416975,-1088.0997416974997
2025-02-03,2025-02-13,1,VOL_IMB,0.2,CALL,base,750.0,690.0000000000035,59.999999999996476,148.49889656,541.5011034400036
2025-02-05,2025-02-13,1,VOL_IMB,0.2,PUT,base,386.25000000000045,326.2500000000017,59.99999999999872,140.7688521425,185.4811478575017
2025-02-12,2025-02-20,1,VOL_IMB,0.2,PUT,base,-825.0,-884.9999999999986,59.999999999998636,128.22177906500002,-1013.2217790649986
2025-02-17,2025-02-27,1,VOL_IMB,0.2,CALL,base,1267.4999999999982,1207.5000000000018,59.99999999999636,166.17167505499998,1041.328324945002
2025-02-20,2025-02-27,1,VOL_IMB,0.2,PUT,base,-944.9999999999995,-1004.9999999999995,60.0,124.99154429,-1129.9915442899996
2025-02-24,2025-03-06,1,VOL_IMB,0.2,PUT,base,-37.5,-97.49999999999875,59.99999999999875,136.899807515,-234.39980751499874
2025-02-25,2025-03-06,1,VOL_IMB,0.2,PUT,base,-547.5000000000009,-607.5000000000007,59.99999999999977,123.44145554,-730.9414555400007
2025-02-27,2025-03-06,1,VOL_IMB,0.2,PUT,base,209.99999999999926,149.9999999999984,60.000000000000846,118.71964438999998,31.280355609998423
2025-03-03,2025-03-13,1,VOL_IMB,0.2,PUT,base,513.7500000000007,453.75000000000193,59.99999999999875,131.5585879925,322.1914120075019
2025-03-04,2025-03-13,1,VOL_IMB,0.2,PUT,base,-765.0000000000014,-825.0,59.999999999998636,125.60867867,-950.60867867
2025-03-12,2025-03-20,1,VOL_IMB,0.2,PUT,base,-678.7500000000009,-738.7499999999995,59.999999999998636,126.32326015250001,-865.0732601524995
2025-03-17,2025-03-27,1,VOL_IMB,0.2,PUT,base,536.2499999999993,476.2500000000008,59.99999999999852,131.1581816975,345.09181830250077
2025-03-19,2025-03-27,1,VOL_IMB,0.2,PUT,base,-1117.5000000000007,-1177.5000000000002,59.999999999999545,122.51665557499999,-1300.0166555750002
2025-03-20,2025-03-27,1,VOL_IMB,0.2,CALL,base,1526.2499999999973,1466.2499999999986,59.999999999998636,137.0273050625,1329.2226949374985
2025-03-25,2025-04-03,1,VOL_IMB,0.2,CALL,base,-536.2500000000005,-596.2499999999982,59.999999999997726,142.95666853249998,-739.2066685324982
