feature,null_seed,threshold,horizon,friction,trades,weeks,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,max_drawdown,total_slippage,total_transaction_costs,raw_gross
GLOBAL_LEAD,404,1.0,H15_10,stress,112,98,-45066.442089742704,-459.86165397696635,-821.0747558925007,0.37755102040816324,-4349.83908884,-4952.173173347501,-58308.82574418755,9896.000000000033,12306.942089742664,-22863.500000000007
US_LEAD,505,0.5,H10_30,stress,492,226,-125749.9781158682,-556.4158323710984,-613.5195962950011,0.3141592920353982,-3338.6328717275,-5689.185621807501,-126008.51532323538,43000.00000000025,54244.97811586798,-28504.999999999993
US_LEAD,505,0.5,H15_10,stress,492,225,-134944.17156093486,-599.751873604155,-843.5281303699999,0.38222222222222224,-6678.72099368,-13753.392357395001,-148557.316764175,42570.50000000018,54252.92156093469,-38120.74999999999
US_LEAD,505,1.0,H10_30,stress,266,175,-66617.63943992608,-380.6722253710062,-472.3944717800008,0.3314285714285714,-3338.6328717275,-3463.2742631050014,-67194.32531141897,23640.00000000014,29512.389439925944,-13465.250000000002
US_LEAD,505,1.0,H15_10,stress,266,174,-79335.04244372771,-455.9485197915385,-757.0773667419796,0.3793103448275862,-6678.72099368,-9960.96812298,-88650.17508665718,23423.00000000011,29456.5424437276,-26455.499999999985
ASIA_LEAD,505,0.5,H10_30,stress,428,217,-64245.81843041314,-296.0636794028255,-471.4310743400002,0.3456221198156682,-4660.8768801725,-5550.454999765,-66144.05662955814,37296.0000000002,47515.06843041295,20565.250000000015
ASIA_LEAD,505,0.5,H15_10,stress,427,217,-60299.269391119415,-277.8768174705964,-739.8881811650015,0.4055299539170507,-4783.292151548996,-7750.805809835005,-90379.11258629012,36774.50000000013,47489.26939111928,23964.499999999996
ASIA_LEAD,505,1.0,H10_30,stress,172,128,-25235.20279128493,-197.15002180691357,-311.66477463000024,0.375,-4660.8768801725,-4660.8768801725,-28639.156913879935,15024.000000000076,19006.45279128486,8795.250000000005
ASIA_LEAD,505,1.0,H15_10,stress,171,128,-35169.75843655573,-274.7637377855916,-456.84601616374994,0.40625,-4783.292151548996,-5471.943685410001,-54304.60929548755,14723.750000000053,18830.008436555672,-1616.0000000000018
GLOBAL_LEAD,505,0.5,H10_30,stress,353,201,-67017.97336764529,-333.4227530728622,-320.2761745849999,0.36318407960199006,-2826.1560254599995,-4833.385631874997,-68556.38550556012,31104.00000000017,39376.723367645136,3462.750000000011
GLOBAL_LEAD,505,0.5,H15_10,stress,352,201,-50754.06400162396,-252.5077811026067,-736.8374959600029,0.4228855721393035,-4783.292151548996,-7284.621967835002,-65909.84917776505,30722.750000000124,39275.814001623825,19244.49999999999
GLOBAL_LEAD,505,1.0,H10_30,stress,116,100,-24159.284150359956,-241.59284150359952,-164.37201935125017,0.41,-2764.650729485,-2957.2447388950013,-25359.702878330056,10016.000000000064,12963.034150359894,-1180.2499999999905
GLOBAL_LEAD,505,1.0,H15_10,stress,115,99,-14242.377379166694,-143.8623977693605,-392.1469170149999,0.43434343434343436,-4634.95582727,-5776.259477585001,-28050.22460760818,9814.750000000044,12931.87737916665,8504.25
