week,net_pnl,gross_pnl,costs,trading_days,positive
2023-07-31/2023-08-06,-1775.8022507750009,-1037.5000000000007,738.302250775,5,False
2023-08-07/2023-08-13,-2819.2643079100003,-2085.0,734.26430791,5,False
2023-08-14/2023-08-20,-850.9142678250003,-262.5000000000003,588.414267825,4,False
2023-08-21/2023-08-27,-2568.526403835,-1837.5000000000002,731.026403835,5,False
2023-08-28/2023-09-03,-848.7278558400003,-115.00000000000045,733.72785584,5,False
2023-09-04/2023-09-10,-2454.0296849049996,-1727.4999999999998,726.529684905,5,False
2023-09-11/2023-09-17,-3238.3993090200006,-2500.0000000000005,738.39930902,5,False
2023-09-18/2023-09-24,-2783.4785782100003,-2195.0,588.47857821,4,False
2023-09-25/2023-10-01,-2041.3290472449996,-1302.5,738.829047245,5,False
2023-10-02/2023-10-08,-3473.5449575800003,-2890.0,583.5449575800001,4,False
2023-10-09/2023-10-15,-1775.55525939,-1035.0000000000002,740.55525939,5,False
2023-10-16/2023-10-22,-924.4995105450002,-187.5000000000001,736.999510545,5,False
2023-10-23/2023-10-29,8308.931614745,8927.5,618.568385255,4,True
2023-10-30/2023-11-05,-1415.6216332300003,-670.0000000000002,745.62163323,5,False
2023-11-06/2023-11-12,-2071.4054624750006,-1342.500000000001,728.905462475,5,False
2023-11-13/2023-11-19,-1998.10306275,-1414.9999999999998,583.1030627499999,4,False
2023-11-20/2023-11-26,-3388.93806329,-2660.0,728.93806329,5,False
2023-11-27/2023-12-03,122.60564253499996,717.5,594.894357465,4,True
2023-12-04/2023-12-10,-645.1551782550006,112.49999999999955,757.655178255,5,False
2023-12-11/2023-12-17,3611.095600329998,4369.999999999998,758.90439967,5,True
2023-12-18/2023-12-24,11232.661075680002,12025.0,792.33892432,5,True
2023-12-25/2023-12-31,-4495.974958850001,-3880.0000000000005,615.97495885,4,False
2024-01-01/2024-01-07,-3445.32094914,-2684.9999999999995,760.32094914,5,False
2024-01-08/2024-01-14,4515.729049879999,5284.999999999999,769.27095012,5,True
2024-01-15/2024-01-21,-5484.2671148100035,-4535.000000000004,949.2671148100001,6,False
2024-01-22/2024-01-28,15985.313705149996,16484.999999999996,499.68629485,3,True
2024-01-29/2024-02-04,-9655.870505379999,-8794.999999999998,860.8705053799999,5,False
2024-02-05/2024-02-11,-3018.837955939998,-2199.999999999998,818.83795594,5,False
2024-02-12/2024-02-18,7234.139639509999,8054.999999999998,820.86036049,5,True
2024-02-19/2024-02-25,-7026.7218134800005,-6230.000000000001,796.72181348,5,False
2024-02-26/2024-03-03,5437.369008200001,6255.000000000002,817.6309918,5,True
2024-03-04/2024-03-10,-6344.674026435,-5732.5,612.174026435,4,False
2024-03-11/2024-03-17,3161.344408759996,3964.9999999999955,803.65559124,5,True
2024-03-18/2024-03-24,-3678.377108999999,-2890.0,788.377109,5,False
2024-03-25/2024-03-31,-6220.923150575,-5777.500000000001,443.423150575,3,False
2024-04-01/2024-04-07,-10093.294133125,-9332.5,760.794133125,5,False
2024-04-08/2024-04-14,-3578.7529658949984,-2972.4999999999986,606.252965895,4,False
2024-04-15/2024-04-21,7849.963422234998,8502.499999999998,652.536577765,4,True
2024-04-22/2024-04-28,-1780.7022469250007,-1017.5000000000009,763.2022469249999,5,False
2024-04-29/2024-05-05,1833.2664112624984,2433.749999999998,600.4835887375,4,True
2024-05-06/2024-05-12,-547.6963154100004,209.99999999999977,757.69631541,5,False
2024-05-13/2024-05-19,-4265.7155071775,-3518.749999999999,746.9655071775001,5,False
