entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime
TUE,10:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,41,41,41,4834.864337918829,6746.5481694775,0.7804878048780488,2.2615525715350047,-47675.5636303355,-23952.9936133075,-28100.958077699997,1.0,16705.685365853657,35765.60000000001,203684.5,5455.062145327996,198229.437854672,0.0267819207908701,False,stress
WED,10:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,42,42,42,4832.593630703048,6407.670724408999,0.7857142857142857,2.107796206647382,-64549.7575332395,-26544.98268482545,-35467.359409211,1.0,15180.87202380952,38467.000000000015,208532.5,5563.567510471997,202968.93248952803,0.0266796183351371,False,stress
WED,10:00,nearest_weekly,delta020,touch,add_short,no_stop,42,42,42,4799.666032177809,6015.21120780475,0.7857142857142857,2.142669409075772,-62433.7549307855,-25227.813240766474,-34444.61158614117,1.0,15019.540476190476,38467.000000000015,207100.5,5514.526648532002,201585.973351468,0.0266272976092863,False,stress
THU,09:20,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,39,39,39,4652.694194912081,9768.99548182,0.717948717948718,1.6867412276641964,-102612.03351369998,-29361.434940097297,-57345.77958089074,1.0,21695.19423076923,51176.93749999998,187059.85000000003,5604.7763984289,181455.07360157117,0.0299624767069411,False,stress
MON,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,43,43,43,4652.180839923443,12614.412690704,0.7906976744186046,1.6453332097360935,-161244.438431513,-36718.7690571054,-62423.17249541334,1.0,20830.54418604651,45274.12499999997,206407.35,6363.573883291902,200043.7761167081,0.030830170937672,False,stress
WED,09:20,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,42,42,42,4627.093716162289,8480.0509613125,0.8333333333333334,1.7456569555113195,-166218.98502223188,-39468.66568395397,-54284.09036296164,1.0,21398.860119047626,44026.93749999998,199995.35,5657.413921183897,194337.9360788161,0.0282877272955791,False,stress
WED,11:00,second_nearest_weekly,delta020,touch,add_short,no_stop,42,42,42,4614.644421504386,9571.214496809853,0.7619047619047619,1.538212458552272,-204511.9707651575,-55491.1843923492,-70441.4382459245,1.0,22977.954166666663,61545.25000000002,200098.3,6283.234296815798,193815.0657031842,0.0314007380213415,False,stress
WED,09:20,second_nearest_weekly,sigma1,touch,add_short,no_stop,42,42,42,4610.186649728205,7871.71991954675,0.8333333333333334,1.7687377568177567,-160289.6595208404,-37813.18573378252,-53210.9469615753,1.0,20891.217857142863,44026.93749999998,199183.1,5555.260711415395,193627.8392885846,0.0278902211654271,False,stress
FRI,09:20,nearest_weekly,delta020,touch,add_short,no_stop,41,41,41,4605.952729733719,3924.462785970501,0.8292682926829268,2.601230903471968,-50418.178969131,-21078.495017592,-32525.13547025933,1.0,12186.922865853658,40955.68749999998,194021.75,5177.688080917495,188844.06191908257,0.026686121947243,False,stress
TUE,11:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,41,41,41,4580.521393216404,7881.8636758025,0.7560975609756098,2.21330954090283,-39640.83392366499,-24303.4971118735,-30699.658058596506,1.0,16394.570731707317,36208.9,193347.6,5546.2228781274,187801.37712187265,0.0286852429413522,False,stress
TUE,11:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,41,41,41,4521.150249140458,4138.5585581985,0.8292682926829268,4.274359981160751,-25148.1332746,-11059.365294382902,-15810.407642412469,1.0,14834.924085365852,27857.374999999996,190426.3,5059.139785241201,185367.1602147588,0.0265674425499061,False,stress
WED,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,42,42,42,4462.7131322312025,8898.36911596225,0.6428571428571429,1.6235194774432442,-128415.46389391998,-26544.01670982057,-33154.586944344665,1.0,23575.89107142857,75467.43750000003,193790.75000000003,6356.7984462895065,187433.9515537105,0.0328023832215392,False,stress
TUE,11:00,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,41,41,41,4354.312491345977,7960.3145280325,0.8536585365853658,1.76143971879756,-126278.1567101765,-43104.98583628149,-46974.4820630205,1.0,21113.33567073171,39754.00000000002,183981.5,5454.687854815,178526.812145185,0.0296480236046287,False,stress
FRI,11:00,nearest_weekly,delta020,touch,add_short,no_stop,41,41,41,4344.493119240549,3622.7625713675,0.7804878048780488,2.420734907325956,-50106.770439218,-15332.7660455245,-32846.86613799833,1.0,11998.581097560977,42474.24999999999,183331.75,5207.532111137503,178124.2178888625,0.0284049659218193,False,stress
TUE,09:20,second_nearest_weekly,sigma1,touch,add_short,no_stop,41,41,41,4332.460361999015,8211.209126365,0.8536585365853658,1.8528609856699167,-119848.933859899,-38941.5318923114,-44923.106226949465,1.0,21391.71097560976,59379.93750000002,183006.1,5375.225158040398,177630.87484195954,0.0293718360100586,False,stress
MON,10:00,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,43,43,43,4329.916234821818,10079.8121796175,0.6976744186046512,1.728026508932251,-117308.7253470598,-26592.4033946912,-35517.13972666933,1.0,20490.76046511628,44910.9375,192540.3,6353.901902661796,186186.39809733815,0.0330003739615124,False,stress
WED,10:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,42,42,42,4304.91326898704,3989.63548370325,0.8333333333333334,2.9109824356054386,-33537.274422741,-16387.3787308611,-23946.631406991837,1.0,14110.47172619048,35929.56249999999,185958.55,5152.192702544302,180806.35729745572,0.0277061350636703,False,stress
WED,11:00,nearest_weekly,sigma1,touch,add_short,no_stop,42,42,42,4304.095969552463,3974.7564547497504,0.7857142857142857,3.2582350610503843,-36612.93258962101,-10211.419426225526,-16356.508060070168,1.0,13815.022321428574,35755.68749999998,185869.75,5097.719278796499,180772.03072120348,0.0274262986784912,False,stress
WED,10:00,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,42,42,42,4298.852336535334,7361.5825652325,0.8333333333333334,1.7988065530124884,-153559.14186369602,-38268.14754598904,-52496.12766729834,1.0,20394.0125,36116.43749999999,186099.0,5547.201865515994,180551.798134484,0.029807800501432,False,stress
TUE,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,41,41,41,4273.446644280735,12882.2591768751,0.7560975609756098,1.5072623162646024,-189913.498966378,-58690.525456263,-62336.637175231335,1.0,23651.161280487813,40197.625000000015,181328.85,6117.537584489901,175211.31241551004,0.0337372546315156,False,stress
WED,11:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,42,42,42,4226.7585325788095,4405.24905074175,0.7857142857142857,2.7641138186990872,-49815.13124890701,-13040.46801050265,-20991.597732824,1.0,13977.616964285711,35755.68749999998,182676.5,5152.641631689998,177523.85836831,0.0282063737354832,False,stress
WED,10:00,second_nearest_weekly,sigma1,touch,add_short,no_stop,42,42,42,4197.183849061678,7611.202394162499,0.8333333333333334,1.812063868808288,-150362.42947888852,-36315.87551300407,-51312.640571919,1.0,19848.01636904762,36116.43749999999,181723.25,5441.528339409503,176281.72166059047,0.0299440403988455,False,stress
