ts,norm_date,local_time,trading_day,strike,option_type,open_px,close_px,feature_day,bucket,expiry,atm
2021-07-02 09:35:00,2021-07-02,09:35:00,2021-07-02,15500.0,CE,205.25,201.8,2021-07-02,0,2021-07-08,15700
2021-07-02 09:35:00,2021-07-02,09:35:00,2021-07-02,15500.0,PE,32.35,33.1,2021-07-02,0,2021-07-08,15700
2021-07-02 09:35:00,2021-07-02,09:35:00,2021-07-02,15500.0,PE,32.35,33.1,2021-07-02,0,2021-07-08,15700
2021-07-02 09:35:00,2021-07-02,09:35:00,2021-07-02,15700.0,CE,78.25,76.05,2021-07-02,0,2021-07-08,15700
2021-07-02 09:35:00,2021-07-02,09:35:00,2021-07-02,15700.0,CE,78.25,76.05,2021-07-02,0,2021-07-08,15700
2021-07-02 09:35:00,2021-07-02,09:35:00,2021-07-02,15700.0,PE,104.75,107.8,2021-07-02,0,2021-07-08,15700
2021-07-02 09:35:00,2021-07-02,09:35:00,2021-07-02,15900.0,CE,18.45,18.05,2021-07-02,0,2021-07-08,15700
2021-07-02 09:35:00,2021-07-02,09:35:00,2021-07-02,15900.0,CE,18.45,18.05,2021-07-02,0,2021-07-08,15700
2021-07-02 09:35:00,2021-07-02,09:35:00,2021-07-02,15900.0,PE,246.6,251.1,2021-07-02,0,2021-07-08,15700
2021-07-02 09:35:00,2021-07-02,09:35:00,2021-07-02,15900.0,PE,246.6,251.1,2021-07-02,0,2021-07-08,15700
2021-07-02 09:36:00,2021-07-02,09:36:00,2021-07-02,15500.0,CE,201.35,197.05,2021-07-02,0,2021-07-08,15700
2021-07-02 09:36:00,2021-07-02,09:36:00,2021-07-02,15500.0,CE,201.35,197.05,2021-07-02,0,2021-07-08,15700
2021-07-02 09:36:00,2021-07-02,09:36:00,2021-07-02,15500.0,PE,32.95,33.75,2021-07-02,0,2021-07-08,15700
2021-07-02 09:36:00,2021-07-02,09:36:00,2021-07-02,15500.0,PE,32.95,33.75,2021-07-02,0,2021-07-08,15700
2021-07-02 09:36:00,2021-07-02,09:36:00,2021-07-02,15700.0,CE,76.0,73.75,2021-07-02,0,2021-07-08,15700
2021-07-02 09:36:00,2021-07-02,09:36:00,2021-07-02,15700.0,CE,76.0,73.75,2021-07-02,0,2021-07-08,15700
2021-07-02 09:36:00,2021-07-02,09:36:00,2021-07-02,15700.0,PE,107.75,109.35,2021-07-02,0,2021-07-08,15700
2021-07-02 09:36:00,2021-07-02,09:36:00,2021-07-02,15900.0,CE,18.0,17.5,2021-07-02,0,2021-07-08,15700
2021-07-02 09:36:00,2021-07-02,09:36:00,2021-07-02,15900.0,CE,18.0,17.5,2021-07-02,0,2021-07-08,15700
2021-07-02 09:36:00,2021-07-02,09:36:00,2021-07-02,15900.0,PE,249.8,254.0,2021-07-02,0,2021-07-08,15700
2021-07-02 09:36:00,2021-07-02,09:36:00,2021-07-02,15900.0,PE,249.8,254.0,2021-07-02,0,2021-07-08,15700
2021-07-02 09:37:00,2021-07-02,09:37:00,2021-07-02,15500.0,CE,196.95,203.45,2021-07-02,0,2021-07-08,15700
2021-07-02 09:37:00,2021-07-02,09:37:00,2021-07-02,15500.0,CE,196.95,203.45,2021-07-02,0,2021-07-08,15700
2021-07-02 09:37:00,2021-07-02,09:37:00,2021-07-02,15500.0,PE,33.7,32.15,2021-07-02,0,2021-07-08,15700
2021-07-02 09:37:00,2021-07-02,09:37:00,2021-07-02,15500.0,PE,33.7,32.15,2021-07-02,0,2021-07-08,15700
2021-07-02 09:37:00,2021-07-02,09:37:00,2021-07-02,15700.0,CE,73.4,76.9,2021-07-02,0,2021-07-08,15700
2021-07-02 09:37:00,2021-07-02,09:37:00,2021-07-02,15700.0,CE,73.4,76.9,2021-07-02,0,2021-07-08,15700
2021-07-02 09:37:00,2021-07-02,09:37:00,2021-07-02,15700.0,PE,109.85,104.65,2021-07-02,0,2021-07-08,15700
2021-07-02 09:37:00,2021-07-02,09:37:00,2021-07-02,15900.0,CE,17.45,18.35,2021-07-02,0,2021-07-08,15700
2021-07-02 09:37:00,2021-07-02,09:37:00,2021-07-02,15900.0,CE,17.45,18.35,2021-07-02,0,2021-07-08,15700
