expiry,entry_date,entry_clock,sigma,adjustment,trigger_fraction,spot,vix,expected_move,ce_strike,pe_strike,lot,adjustments,costs,net_pnl,entry_offset,cell_id
2026-01-13,2026-01-08,09:30:00,1.0,NONE,,26062.3,9.95,310.9033319473483,26400.0,25750.0,65,0,49.714649338499996,129.03535066150022,-3,AD30_03_093000_S1_NONE
2026-01-13,2026-01-08,09:30:00,1.0,REDUCE_AT_50PCT,0.5,26062.3,9.95,310.9033319473483,26400.0,25750.0,65,1,50.64072479399999,-1955.140724794,-3,AD30_03_093000_S1_REDUCE_AT_50PCT
2026-01-13,2026-01-08,09:30:00,1.0,REDUCE_AT_75PCT,0.75,26062.3,9.95,310.9033319473483,26400.0,25750.0,65,1,50.4832486245,-1600.7332486244995,-3,AD30_03_093000_S1_REDUCE_AT_75PCT
2026-01-13,2026-01-08,09:30:00,2.0,NONE,,26062.3,9.95,621.8066638946966,26700.0,25400.0,65,0,47.74221076,218.75778924,-3,AD30_03_093000_S2_NONE
2026-01-13,2026-01-08,09:30:00,2.0,REDUCE_AT_50PCT,0.5,26062.3,9.95,621.8066638946966,26700.0,25400.0,65,1,47.9459184655,-239.69591846550006,-3,AD30_03_093000_S2_REDUCE_AT_50PCT
2026-01-13,2026-01-08,09:30:00,2.0,REDUCE_AT_75PCT,0.75,26062.3,9.95,621.8066638946966,26700.0,25400.0,65,1,47.9459184655,-239.69591846550006,-3,AD30_03_093000_S2_REDUCE_AT_75PCT
2026-01-13,2026-01-08,10:00:00,1.0,NONE,,26081.9,9.95,310.51878634268115,26400.0,25750.0,65,0,49.668676983500006,96.58132301650022,-3,AD30_03_100000_S1_NONE
2026-01-13,2026-01-08,10:00:00,1.0,REDUCE_AT_50PCT,0.5,26081.9,9.95,310.51878634268115,26400.0,25750.0,65,1,50.594752439,-1987.594752439,-3,AD30_03_100000_S1_REDUCE_AT_50PCT
2026-01-13,2026-01-08,10:00:00,1.0,REDUCE_AT_75PCT,0.75,26081.9,9.95,310.51878634268115,26400.0,25750.0,65,1,50.437276269499996,-1633.1872762694995,-3,AD30_03_100000_S1_REDUCE_AT_75PCT
2026-01-13,2026-01-08,10:00:00,2.0,NONE,,26081.9,9.95,621.0375726853623,26750.0,25450.0,65,0,47.7591549665,234.9908450335,-3,AD30_03_100000_S2_NONE
2026-01-13,2026-01-08,10:00:00,2.0,REDUCE_AT_50PCT,0.5,26081.9,9.95,621.0375726853623,26750.0,25450.0,65,1,48.006204737,-321.006204737,-3,AD30_03_100000_S2_REDUCE_AT_50PCT
2026-01-13,2026-01-08,10:00:00,2.0,REDUCE_AT_75PCT,0.75,26081.9,9.95,621.0375726853623,26750.0,25450.0,65,1,48.006204737,-321.006204737,-3,AD30_03_100000_S2_REDUCE_AT_75PCT
2026-01-20,2026-01-16,09:30:00,1.0,NONE,,25717.15,11.32,314.0073525109107,26050.0,25400.0,65,0,55.556611796,-8791.556611796,-2,AD30_02_093000_S1_NONE
2026-01-20,2026-01-16,09:30:00,1.0,REDUCE_AT_50PCT,0.5,25717.15,11.32,314.0073525109107,26050.0,25400.0,65,1,51.650047004,0.34995299599999896,-2,AD30_02_093000_S1_REDUCE_AT_50PCT
2026-01-20,2026-01-16,09:30:00,1.0,REDUCE_AT_75PCT,0.75,25717.15,11.32,314.0073525109107,26050.0,25400.0,65,1,51.5041287185,328.74587128150023,-2,AD30_02_093000_S1_REDUCE_AT_75PCT
2026-01-20,2026-01-16,09:30:00,2.0,NONE,,25717.15,11.32,628.0147050218214,26350.0,25050.0,65,0,48.0042531835,403.7457468165,-2,AD30_02_093000_S2_NONE
2026-01-20,2026-01-16,09:30:00,2.0,REDUCE_AT_50PCT,0.5,25717.15,11.32,628.0147050218214,26350.0,25050.0,65,1,48.0187005385,371.2312994615,-2,AD30_02_093000_S2_REDUCE_AT_50PCT
2026-01-20,2026-01-16,09:30:00,2.0,REDUCE_AT_75PCT,0.75,25717.15,11.32,628.0147050218214,26350.0,25050.0,65,1,48.00858739,393.99141261,-2,AD30_02_093000_S2_REDUCE_AT_75PCT
2026-01-20,2026-01-16,10:00:00,1.0,NONE,,25740.5,11.32,313.5205544640571,26100.0,25400.0,65,0,54.6325674605,-9443.8825674605,-2,AD30_02_100000_S1_NONE
2026-01-20,2026-01-16,10:00:00,1.0,REDUCE_AT_50PCT,0.5,25740.5,11.32,313.5205544640571,26100.0,25400.0,65,1,50.7260026685,-651.9760026685,-2,AD30_02_100000_S1_REDUCE_AT_50PCT
2026-01-20,2026-01-16,10:00:00,1.0,REDUCE_AT_75PCT,0.75,25740.5,11.32,313.5205544640571,26100.0,25400.0,65,1,50.464505543,-63.464505542999774,-2,AD30_02_100000_S1_REDUCE_AT_75PCT
2026-01-20,2026-01-16,10:00:00,2.0,NONE,,25740.5,11.32,627.0411089281142,26400.0,25100.0,65,0,47.9522388575,371.29776114249995,-2,AD30_02_100000_S2_NONE
2026-01-20,2026-01-16,10:00:00,2.0,REDUCE_AT_50PCT,0.5,25740.5,11.32,627.0411089281142,26400.0,25100.0,65,1,47.985467774,296.5145322259999,-2,AD30_02_100000_S2_REDUCE_AT_50PCT
2026-01-20,2026-01-16,10:00:00,2.0,REDUCE_AT_75PCT,0.75,25740.5,11.32,627.0411089281142,26400.0,25100.0,65,1,47.956573064,361.54342693599995,-2,AD30_02_100000_S2_REDUCE_AT_75PCT
2026-01-20,2026-01-14,09:30:00,1.0,NONE,,25744.95,11.2,377.2098118628293,26150.0,25350.0,65,0,55.422481033,-4670.422481033,-3,AD30_03_093000_S1_NONE
2026-01-20,2026-01-14,09:30:00,1.0,REDUCE_AT_50PCT,0.5,25744.95,11.2,377.2098118628293,26150.0,25350.0,65,1,52.576352098,1734.923647902,-3,AD30_03_093000_S1_REDUCE_AT_50PCT
2026-01-20,2026-01-14,09:30:00,1.0,REDUCE_AT_75PCT,0.75,25744.95,11.2,377.2098118628293,26150.0,25350.0,65,1,52.6413651955,1588.6086348045,-3,AD30_03_093000_S1_REDUCE_AT_75PCT
2026-01-20,2026-01-14,09:30:00,2.0,NONE,,25744.95,11.2,754.4196237256587,26500.0,24950.0,65,0,48.5958518275,825.6541481725,-3,AD30_03_093000_S2_NONE
2026-01-20,2026-01-14,09:30:00,2.0,REDUCE_AT_50PCT,0.5,25744.95,11.2,754.4196237256587,26500.0,24950.0,65,1,48.603075505,809.396924495,-3,AD30_03_093000_S2_REDUCE_AT_50PCT
2026-01-20,2026-01-14,09:30:00,2.0,REDUCE_AT_75PCT,0.75,25744.95,11.2,754.4196237256587,26500.0,24950.0,65,0,48.5958518275,825.6541481725,-3,AD30_03_093000_S2_REDUCE_AT_75PCT
2026-01-20,2026-01-14,10:00:00,1.0,NONE,,25727.85,11.2,376.3301264272274,26150.0,25350.0,65,0,55.197216493499994,-4829.4472164935,-3,AD30_03_100000_S1_NONE
2026-01-20,2026-01-14,10:00:00,1.0,REDUCE_AT_50PCT,0.5,25727.85,11.2,376.3301264272274,26150.0,25350.0,65,1,52.51434266999999,1208.4856573300003,-3,AD30_03_100000_S1_REDUCE_AT_50PCT
2026-01-20,2026-01-14,10:00:00,1.0,REDUCE_AT_75PCT,0.75,25727.85,11.2,376.3301264272274,26150.0,25350.0,65,1,52.416100656,1429.583899344,-3,AD30_03_100000_S1_REDUCE_AT_75PCT
2026-01-20,2026-01-14,10:00:00,2.0,NONE,,25727.85,11.2,752.6602528544548,26500.0,24950.0,65,0,48.5039071175,760.7460928825,-3,AD30_03_100000_S2_NONE
2026-01-20,2026-01-14,10:00:00,2.0,REDUCE_AT_50PCT,0.5,25727.85,11.2,752.6602528544548,26500.0,24950.0,65,1,48.511130795,744.488869205,-3,AD30_03_100000_S2_REDUCE_AT_50PCT
2026-01-20,2026-01-14,10:00:00,2.0,REDUCE_AT_75PCT,0.75,25727.85,11.2,752.6602528544548,26500.0,24950.0,65,0,48.5039071175,760.7460928825,-3,AD30_03_100000_S2_REDUCE_AT_75PCT
2026-01-27,2026-01-22,09:30:00,1.0,NONE,,25400.35,13.78,419.641542368898,25850.0,24950.0,65,0,51.254498682,2698.245501318,-2,AD30_02_093000_S1_NONE
2026-01-27,2026-01-22,09:30:00,1.0,REDUCE_AT_50PCT,0.5,25400.35,13.78,419.641542368898,25850.0,24950.0,65,1,52.8335945835,-855.5835945835,-2,AD30_02_093000_S1_REDUCE_AT_50PCT
2026-01-27,2026-01-22,09:30:00,1.0,REDUCE_AT_75PCT,0.75,25400.35,13.78,419.641542368898,25850.0,24950.0,65,1,52.973733927,-1170.9737339269996,-2,AD30_02_093000_S1_REDUCE_AT_75PCT
2026-01-27,2026-01-22,09:30:00,2.0,NONE,,25400.35,13.78,839.283084737796,26250.0,24550.0,65,0,48.5467269725,786.7032730275,-2,AD30_02_093000_S2_NONE
2026-01-27,2026-01-22,09:30:00,2.0,REDUCE_AT_50PCT,0.5,25400.35,13.78,839.283084737796,26250.0,24550.0,65,1,48.7172057615,403.03279423849995,-2,AD30_02_093000_S2_REDUCE_AT_50PCT
2026-01-27,2026-01-22,09:30:00,2.0,REDUCE_AT_75PCT,0.75,25400.35,13.78,839.283084737796,26250.0,24550.0,65,0,48.5467269725,786.7032730275,-2,AD30_02_093000_S2_REDUCE_AT_75PCT
2026-01-27,2026-01-22,10:00:00,1.0,NONE,,25404.05,13.78,418.8685470236151,25850.0,24950.0,65,0,51.83834759049999,3110.4116524095007,-2,AD30_02_100000_S1_NONE
2026-01-27,2026-01-22,10:00:00,1.0,REDUCE_AT_50PCT,0.5,25404.05,13.78,418.8685470236151,25850.0,24950.0,65,1,53.417443492,-443.41744349199956,-2,AD30_02_100000_S1_REDUCE_AT_50PCT
2026-01-27,2026-01-22,10:00:00,1.0,REDUCE_AT_75PCT,0.75,25404.05,13.78,418.8685470236151,25850.0,24950.0,65,1,53.553248628999995,-749.0532486289995,-2,AD30_02_100000_S1_REDUCE_AT_75PCT
2026-01-27,2026-01-22,10:00:00,2.0,NONE,,25404.05,13.78,837.7370940472302,26250.0,24550.0,65,0,48.8501445155,1000.8998554845,-2,AD30_02_100000_S2_NONE
2026-01-27,2026-01-22,10:00:00,2.0,REDUCE_AT_50PCT,0.5,25404.05,13.78,837.7370940472302,26250.0,24550.0,65,1,49.0206233045,617.2293766955,-2,AD30_02_100000_S2_REDUCE_AT_50PCT
2026-01-27,2026-01-22,10:00:00,2.0,REDUCE_AT_75PCT,0.75,25404.05,13.78,837.7370940472302,26250.0,24550.0,65,0,48.8501445155,1000.8998554845,-2,AD30_02_100000_S2_REDUCE_AT_75PCT
2026-01-27,2026-01-21,09:30:00,1.0,NONE,,25231.8,12.73,420.19370587771186,25700.0,24800.0,65,0,53.0275868495,3954.2224131505,-3,AD30_03_093000_S1_NONE
2026-01-27,2026-01-21,09:30:00,1.0,REDUCE_AT_50PCT,0.5,25231.8,12.73,420.19370587771186,25700.0,24800.0,65,1,55.242366370999996,-1030.2423663710008,-3,AD30_03_093000_S1_REDUCE_AT_50PCT
2026-01-27,2026-01-21,09:30:00,1.0,REDUCE_AT_75PCT,0.75,25231.8,12.73,420.19370587771186,25700.0,24800.0,65,0,53.0275868495,3954.2224131505,-3,AD30_03_093000_S1_REDUCE_AT_75PCT
2026-01-27,2026-01-21,09:30:00,2.0,NONE,,25231.8,12.73,840.3874117554237,26100.0,24350.0,65,0,49.2147708555,1254.0352291445,-3,AD30_03_093000_S2_NONE
2026-01-27,2026-01-21,09:30:00,2.0,REDUCE_AT_50PCT,0.5,25231.8,12.73,840.3874117554237,26100.0,24350.0,65,0,49.2147708555,1254.0352291445,-3,AD30_03_093000_S2_REDUCE_AT_50PCT
2026-01-27,2026-01-21,09:30:00,2.0,REDUCE_AT_75PCT,0.75,25231.8,12.73,840.3874117554237,26100.0,24350.0,65,0,49.2147708555,1254.0352291445,-3,AD30_03_093000_S2_REDUCE_AT_75PCT
2026-01-27,2026-01-21,10:00:00,1.0,NONE,,25151.55,12.73,418.1582085927712,25600.0,24700.0,65,0,52.808364280999996,3795.191635719,-3,AD30_03_100000_S1_NONE
