entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime
TUE,09:20,second_nearest_weekly,delta020,ninety_pct,protective_next_strike,no_stop,41,41,41,2112.239010757966,1628.866606454,0.5853658536585366,2.0021894930853814,-43037.4156318435,-8872.491102453007,-11384.771290992338,1.0,23651.161280487813,40197.625000000015,93310.1,6708.300558923403,86601.79944107661,0.0718925449541196,False,base
TUE,09:20,second_nearest_weekly,delta020,ninety_pct,protective_next_strike,stop_2x_credit,41,41,41,2112.239010757966,1628.866606454,0.5853658536585366,2.0021894930853814,-43037.4156318435,-8872.491102453007,-11384.771290992338,1.0,23651.161280487813,40197.625000000015,93310.1,6708.300558923403,86601.79944107661,0.0718925449541196,False,base
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,no_stop,39,39,39,2090.6546577428244,4340.418075045,0.6410256410256411,1.7320080311651005,-67456.39993375044,-14772.916908804047,-16094.318947061,1.0,21695.19423076923,51176.93749999998,87636.19999999998,6100.668348029802,81535.53165197014,0.0696135654904001,False,base
TUE,09:20,second_nearest_weekly,sigma1,ninety_pct,protective_next_strike,no_stop,41,41,41,2089.1424022595243,4158.868405115998,0.6097560975609756,1.9816188354148443,-48115.53978561349,-9935.145219497006,-10504.588416375336,1.0,22137.260670731703,59379.93750000002,91659.75,6004.911507359502,85654.83849264048,0.065513068793658,False,base
THU,09:20,nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,39,39,39,2083.846714491834,5424.044763725,0.717948717948718,1.495123585099718,-85784.5869918695,-21828.6706479273,-29747.79274146125,1.0,13612.08269230769,27081.43749999999,86383.75,5113.728134818493,81270.02186518152,0.0591978020729418,False,base
THU,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,39,39,39,2056.603752492409,9928.736988345,0.8205128205128205,1.2133218945689446,-212286.0475573955,-68467.7052966468,-86267.84903479175,1.0,21621.914743589743,51607.56249999998,85873.99999999999,5666.453652796012,80207.546347204,0.0659856726459232,False,base
TUE,11:00,second_nearest_weekly,sigma1,touch,add_short,stop_2x_credit,41,41,41,2049.792378201917,6052.4454738925,0.7317073170731707,1.418737523415067,-95416.90048165852,-24102.4140991225,-30118.53079393817,1.0,20754.039329268293,39754.00000000002,89456.1,5414.612493721393,84041.48750627862,0.0605281528450423,False,base
TUE,09:20,nearest_weekly,delta020,ninety_pct,protective_next_strike,no_stop,41,41,41,2048.6652161534907,743.3937161975,0.5853658536585366,2.2108721652937047,-21126.592921305484,-7832.908879630996,-12299.325138673828,1.0,16983.870121951222,35560.850000000006,90010.85000000002,6015.576137706903,83995.27386229309,0.066831677933348,False,base
TUE,09:20,nearest_weekly,delta020,ninety_pct,protective_next_strike,stop_2x_credit,41,41,41,2048.6652161534907,743.3937161975,0.5853658536585366,2.2108721652937047,-21126.592921305484,-7832.908879630996,-12299.325138673828,1.0,16983.870121951222,35560.850000000006,90010.85000000002,6015.576137706903,83995.27386229309,0.066831677933348,False,base
WED,10:00,nearest_weekly,sigma1,ninety_pct,add_short,stop_2x_credit,42,42,42,2042.3407383199688,3100.917402778,0.6904761904761905,1.6089103842782029,-55574.82901557648,-13783.436680048391,-21004.42907168783,1.0,14060.77529761905,35929.56249999999,90938.55,5160.238990561296,85778.31100943872,0.0567442409249025,False,base
FRI,10:00,second_nearest_weekly,sigma1,touch,protective_next_strike,no_stop,41,41,41,2033.0442118519663,3522.906135535,0.6585365853658537,1.877644496520609,-43274.57002911799,-11416.4713130885,-14424.856676372665,1.0,17747.299085365856,32641.04999999998,88691.6,5336.787314069398,83354.81268593059,0.0601724099471584,False,base
TUE,09:20,second_nearest_weekly,sigma1,ninety_pct,protective_next_strike,stop_2x_credit,41,41,41,2011.638865515927,4158.868405115998,0.6097560975609756,1.9119911067168736,-48115.53978561349,-9935.145219497006,-11563.803418537836,1.0,22137.260670731703,59379.93750000002,88521.0,6043.806513847001,82477.19348615299,0.0682753980846014,False,base
THU,11:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,39,39,39,1980.941264320038,9267.2690287,0.7948717948717948,1.2172879917522164,-207902.07935676648,-66672.1653173826,-82678.89051194076,1.0,21209.32435897436,51601.06250000001,82865.74999999997,5609.040691518488,77256.70930848147,0.0676882872781395,False,base
WED,11:00,nearest_weekly,sigma1,touch,add_short,stop_2x_credit,42,42,42,1979.627007450179,3090.39031982125,0.6904761904761905,1.6212377679796532,-54973.68175338698,-13899.761884399277,-22565.71420850183,1.0,13728.61279761905,35755.68749999998,88217.75,5073.4156870925,83144.3343129075,0.0575101460544221,False,base
MON,09:20,second_nearest_weekly,sigma1,ninety_pct,add_short,stop_2x_credit,43,43,43,1978.715484749421,5432.887583298,0.6976744186046512,1.4089983928089225,-83534.3754572509,-26059.560656397098,-28737.102757778,1.0,18553.425,36880.18749999999,90934.85,5850.084155774903,85084.76584422511,0.0643326970438165,False,base
THU,09:20,nearest_weekly,delta020,touch,add_short,stop_2x_credit,39,39,39,1973.8260757968976,4414.136692435,0.717948717948718,1.47959519320573,-88204.6743561615,-21828.6706479273,-28989.991195950497,1.0,13373.380448717948,27081.43749999999,82017.0,5037.783043920996,76979.21695607904,0.0614236444142189,False,base
WED,10:00,nearest_weekly,sigma1,touch,add_short,stop_2x_credit,42,42,42,1968.3185870927427,3178.27048849925,0.7142857142857143,1.6307494776277711,-52993.633560342,-16045.343680061123,-21362.564190254165,1.0,13658.307738095242,28856.74999999999,87685.0,5015.619342104796,82669.3806578952,0.0572004258665084,False,base
THU,09:20,nearest_weekly,delta020,ninety_pct,add_short,no_stop,39,39,39,1956.7714926368585,6062.176749661,0.7948717948717948,1.319168926882763,-86868.2368381145,-49871.0904102661,-53851.851609655765,1.0,13612.08269230769,27081.43749999999,81430.24999999999,5116.161787162495,76314.08821283751,0.0628287618810269,False,base
TUE,10:00,second_nearest_weekly,delta020,ninety_pct,protective_next_strike,no_stop,41,41,41,1954.9464702025,1233.8435921474995,0.5853658536585366,1.9820571382866965,-46897.4442197255,-9628.322614862998,-10482.93237531767,1.0,23492.225609756093,42423.87500000001,86832.25,6679.4447216975,80152.80527830249,0.0769235476645773,False,base
TUE,10:00,second_nearest_weekly,delta020,ninety_pct,protective_next_strike,stop_2x_credit,41,41,41,1954.9464702025,1233.8435921474995,0.5853658536585366,1.9820571382866965,-46897.4442197255,-9628.322614862998,-10482.93237531767,1.0,23492.225609756093,42423.87500000001,86832.25,6679.4447216975,80152.80527830249,0.0769235476645773,False,base
THU,09:20,second_nearest_weekly,delta020,touch,protective_next_strike,stop_2x_credit,39,39,39,1932.6513086879927,4340.418075045,0.6410256410256411,1.6412124642700678,-73618.5305468889,-15132.425945256204,-21480.482720915497,1.0,21695.19423076923,51176.93749999998,81594.45000000001,6221.048961168299,75373.40103883168,0.0762435307936789,False,base
