entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime,fold,stage
FRI,09:20,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,18,18,18,5485.990516457456,9839.13280810875,0.8333333333333334,2.0035528899768056,-81446.930416928,-33009.33385601375,-51743.6528548215,1.0,21735.268750000003,36222.54999999999,101245.3,2497.4707037658004,98747.8292962342,0.0246675223814419,False,stress,3,train
WED,11:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,20,20,20,5374.26962063915,4484.286266037751,0.7,2.457266672415032,-49815.13124890701,-21154.63856585395,-29077.484578453,1.0,16351.79,35755.68749999998,110084.0,2598.607587216999,107485.39241278298,0.0236056791833236,False,stress,3,train
TUE,09:20,nearest_weekly,delta020,touch,add_short,no_stop,17,17,17,5308.470954194594,7748.861868311999,0.5882352941176471,2.1010785044765936,-35742.90203015799,-25668.36126955259,-29816.552845117,1.0,20049.488970588234,35560.850000000006,92708.85,2464.8437786919003,90244.0062213081,0.0265869307913095,False,stress,3,train
FRI,11:00,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,18,18,18,5212.169901672422,9095.0293882755,0.7777777777777778,1.984813428562476,-86521.85451246801,-38649.73574454816,-49848.3437014995,1.0,21213.41805555556,34422.37499999999,96300.1,2481.0417698964056,93819.05823010358,0.0257636468694882,False,stress,3,train
FRI,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,18,18,18,5211.538900315457,11240.77569522975,0.6111111111111112,1.6928025010564354,-90372.25239629849,-25011.40469780125,-31019.962861646494,1.0,23758.64652777778,44852.437500000015,96570.5,2762.799794321798,93807.7002056782,0.0286091486978093,False,stress,3,train
FRI,09:20,second_nearest_weekly,sigma1,touch,add_short,no_stop,18,18,18,5150.098461527039,10448.008949639,0.8333333333333334,1.992417232317144,-76017.40367169448,-29898.14687793957,-49595.2089185725,1.0,21056.054861111115,36222.54999999999,95145.05,2443.277692513296,92701.7723074867,0.0256795040048147,False,stress,3,train
FRI,11:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,18,18,18,5103.736600676367,13837.56790139125,0.6666666666666666,1.5885832314288535,-128310.566216205,-55269.00096639478,-62801.1142948465,1.0,23487.677777777782,44091.12499999999,94616.6,2749.341187825403,91867.2588121746,0.0290577043333347,False,stress,3,train
THU,11:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,17,17,17,5074.202625474271,5360.064649317,0.7647058823529411,2.313259896112812,-37511.909155387504,-26717.3805021983,-26873.8561013575,1.0,14803.042647058814,23499.124999999975,88506.6,2245.155366937408,86261.44463306258,0.025367095413646,False,stress,3,train
THU,11:00,second_nearest_weekly,sigma2,touch,add_short,no_stop,17,17,17,4973.536152715824,1877.666526638,1.0,inf,0.0,571.4430582205999,418.264881313,1.0,23226.89926470588,29589.95000000002,86333.0,1782.885403831,84550.11459616902,0.0206512620183591,False,stress,3,train
FRI,11:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,18,18,18,4947.6456689019,2959.45616357575,0.8333333333333334,2.739779832079765,-28140.24284463889,-21599.009002702183,-28140.24284463889,1.0,13171.97013888889,25492.35000000001,91297.7,2240.0779597658,89057.6220402342,0.0245359736309436,False,stress,3,train
