expiry,entry_date,entry_offset,trigger,adjustment,cell_id,lot,net_pnl,adjustments,brokerage_cost
2022-07-07,2022-07-01,-4,WING_60,ONE_STRIKE_INSIDE,ID30_04_WING_60_ONE_STRIKE_INSIDE,50,804.2016375800091,2,385.79836242
2022-07-07,2022-07-01,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,-3034.632074745,2,717.1320747450001
2022-07-07,2022-07-01,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,591.4982830700055,2,378.50171693
2022-07-07,2022-07-04,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-3473.116010304996,2,685.6160103049999
2022-07-07,2022-07-04,-3,WING_60,ONE_STRIKE_INSIDE,ID30_03_WING_60_ONE_STRIKE_INSIDE,50,534.0636811400018,2,370.93631886
2022-07-07,2022-07-04,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,-3257.327932665,2,684.8279326649999
2022-07-07,2022-07-04,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,229.96718172500005,2,362.53281827499995
2022-07-07,2022-07-05,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-4913.248232850004,2,638.2482328500001
2022-07-07,2022-07-05,-2,WING_60,ONE_STRIKE_INSIDE,ID30_02_WING_60_ONE_STRIKE_INSIDE,50,1979.1144424750019,2,348.3855575250001
2022-07-07,2022-07-05,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,-3805.710053355002,2,643.210053355
2022-07-07,2022-07-05,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,963.259551595,2,334.24044840500005
2022-07-14,2022-07-08,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-574.031199945,2,646.531199945
2022-07-14,2022-07-08,-4,WING_60,ONE_STRIKE_INSIDE,ID30_04_WING_60_ONE_STRIKE_INSIDE,50,-4036.243553669999,2,371.24355367
2022-07-14,2022-07-08,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,-3342.2130098200037,2,682.2130098199999
2022-07-14,2022-07-08,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,-4934.098040860001,2,364.09804085999997
2022-07-14,2022-07-11,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,1165.0292871549989,2,637.4707128450002
2022-07-14,2022-07-11,-3,WING_60,ONE_STRIKE_INSIDE,ID30_03_WING_60_ONE_STRIKE_INSIDE,50,-4450.5383421399965,2,360.53834214000005
2022-07-14,2022-07-11,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,-3664.216994655,2,656.7169946549999
2022-07-14,2022-07-11,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,-5015.451553689996,2,355.45155368999997
2022-07-14,2022-07-12,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,894.9178934399989,2,635.0821065600002
2022-07-14,2022-07-12,-2,WING_60,ONE_STRIKE_INSIDE,ID30_02_WING_60_ONE_STRIKE_INSIDE,50,-4720.649735854997,2,358.149735855
2022-07-14,2022-07-12,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,-4030.865845545002,2,643.3658455449998
2022-07-14,2022-07-12,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,-5068.334092064996,2,350.83409206500005
2022-07-21,2022-07-15,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-4649.633616920002,2,649.6336169199999
2022-07-21,2022-07-15,-4,WING_60,ONE_STRIKE_INSIDE,ID30_04_WING_60_ONE_STRIKE_INSIDE,50,-4551.929283634998,2,384.429283635
2022-07-21,2022-07-15,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,-3746.2092135349963,2,693.7092135349999
2022-07-21,2022-07-15,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,-464.6180561799982,2,374.61805618
2022-07-21,2022-07-18,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,2804.366206619999,1,415.63379338
2022-07-21,2022-07-18,-3,WING_60,ONE_STRIKE_INSIDE,ID30_03_WING_60_ONE_STRIKE_INSIDE,50,487.07904245000185,2,377.92095754999997
2022-07-21,2022-07-18,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,-4138.02056917,2,653.0205691699999
2022-07-21,2022-07-18,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,-433.557012695,2,346.057012695
2022-07-21,2022-07-19,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,1510.955684434999,1,411.544315565
