cell_id,year,weeks,mean_weekly_net,median_weekly_net,positive_week_rate,total_net,worst_week
ID30_04_RISK_60_ONE_STRIKE_INSIDE,2023,52,6754.259734571346,6629.79936304,1.0,351221.50619771,5945.814130654999
ID30_04_RISK_60_ONE_STRIKE_INSIDE,2024,51,6101.035216555686,4132.8734025475,1.0,311152.79604434,3652.16736998
ID30_04_RISK_60_ONE_STRIKE_INSIDE,2025,51,11512.645844072058,11515.97916097,1.0,587144.938047675,10158.6116936575
ID30_04_RISK_60_ONE_STRIKE_INSIDE,2026,25,10104.10596883007,10565.737481013735,1.0,252602.64922075177,312.8772629236386
ID30_04_RISK_60_RECENTER_BOTH,2021,24,6974.533165584791,7047.8182617024995,1.0,167388.795974035,6032.28406328
ID30_04_RISK_60_RECENTER_BOTH,2022,52,7681.893872710289,7716.6069364825,1.0,399458.481380935,6555.45852582
ID30_04_RISK_60_RECENTER_BOTH,2023,52,6754.259734571346,6629.79936304,1.0,351221.50619771,5945.814130654999
ID30_04_RISK_60_RECENTER_BOTH,2024,51,6101.035216555686,4132.8734025475,1.0,311152.79604434,3652.16736998
ID30_04_RISK_60_RECENTER_BOTH,2025,51,11512.645844072058,11515.97916097,1.0,587144.938047675,10158.6116936575
ID30_04_RISK_60_RECENTER_BOTH,2026,26,10133.795469347775,10685.652259759281,1.0,263478.68220304215,312.8772629236386
ID30_04_WING_60_ONE_STRIKE_INSIDE,2022,1,7167.51107892,7167.51107892,1.0,7167.51107892,7167.51107892
ID30_04_WING_60_ONE_STRIKE_INSIDE,2023,2,6613.909305292499,6613.909305292499,1.0,13227.818610584998,6523.111394584998
ID30_04_WING_60_ONE_STRIKE_INSIDE,2026,1,14124.923746764372,14124.923746764372,1.0,14124.923746764372,14124.923746764372
ID30_04_WING_60_RECENTER_BOTH,2021,24,-2165.2204182035425,-2538.117005582504,0.2916666666666667,-51965.290036885024,-12084.79424279
ID30_04_WING_60_RECENTER_BOTH,2022,52,-2118.133862130673,-2847.2173704900006,0.15384615384615385,-110142.960830795,-8751.46018266
ID30_04_WING_60_RECENTER_BOTH,2023,52,-502.40671330269294,350.274171299999,0.5192307692307693,-26125.149091740033,-9453.4617915
ID30_04_WING_60_RECENTER_BOTH,2024,51,-1502.0979584615193,-1962.470798912499,0.23529411764705882,-76606.99588153748,-7890.952389874997
ID30_04_WING_60_RECENTER_BOTH,2025,51,-602.9102608788244,-1689.94763901,0.37254901960784315,-30748.42330482004,-7393.3727413125
ID30_04_WING_60_RECENTER_BOTH,2026,27,-1847.577359222448,-2605.7291817593427,0.14814814814814814,-49884.5886990061,-11377.80378288331
