day,expiry,bucket,feature,threshold,side,friction,raw_gross,execution_gross,slippage_cost,transaction_costs,net_pnl,null_seed
2025-02-25,2025-03-06,1,JOINT,0.2,PUT,stress,-547.5000000000009,-667.5000000000027,120.00000000000182,123.41235554000001,-790.9123555400027,303
2025-02-27,2025-03-06,1,JOINT,0.2,CALL,stress,-345.0000000000007,-465.0000000000024,120.0000000000017,130.321728425,-595.3217284250024,303
2025-03-11,2025-03-20,1,JOINT,0.2,PUT,stress,-1548.749999999999,-1668.750000000001,120.00000000000182,127.0434229925,-1795.7934229925008,303
2025-03-17,2025-03-27,1,JOINT,0.2,PUT,stress,536.2499999999993,416.2499999999976,120.0000000000017,131.1290816975,285.1209183024976,303
2025-03-20,2025-03-27,1,JOINT,0.2,CALL,stress,1526.2499999999973,1406.2499999999955,120.00000000000182,136.9982050625,1269.2517949374956,303
2025-03-25,2025-04-03,1,JOINT,0.2,PUT,stress,29.999999999999318,-90.0000000000025,120.00000000000182,135.4882295,-225.4882295000025,303
2025-03-26,2025-04-03,1,JOINT,0.2,PUT,stress,1728.750000000001,1608.749999999999,120.00000000000182,139.0972394975,1469.6527605024992,303
2025-04-09,2025-04-17,1,JOINT,0.2,PUT,stress,-318.7500000000023,-438.74999999999955,119.99999999999727,162.52538401249998,-601.2753840124996,303
2025-04-21,2025-04-30,1,JOINT,0.2,CALL,stress,1785.0000000000027,1665.0000000000036,119.99999999999909,162.07820096,1502.9217990400036,303
2025-04-24,2025-04-30,1,JOINT,0.2,CALL,stress,-431.2499999999977,-551.2499999999995,120.00000000000182,140.2247490575,-691.4747490574996,303
2025-04-28,2025-05-08,1,JOINT,0.2,PUT,stress,-1305.000000000001,-1425.0000000000027,120.00000000000182,143.101987925,-1568.1019879250027,303
2025-05-22,2025-05-29,1,JOINT,0.2,CALL,stress,329.9999999999983,210.0000000000008,119.9999999999975,153.59232638000003,56.407673620000764,303
2025-05-26,2025-06-05,1,JOINT,0.2,PUT,stress,258.75000000000136,138.75000000000387,119.9999999999975,162.08043499250002,-23.33043499249615,303
2025-05-27,2025-06-05,1,JOINT,0.2,PUT,stress,-483.7499999999991,-603.7499999999964,119.99999999999727,161.8946101175,-765.6446101174963,303
2025-05-28,2025-06-05,1,JOINT,0.2,PUT,stress,-228.74999999999864,-348.7499999999982,119.99999999999955,158.24670091250002,-506.9967009124982,303
2025-05-29,2025-06-05,1,JOINT,0.2,CALL,stress,-127.50000000000136,-247.50000000000318,120.00000000000182,143.27569963999997,-390.77569964000315,303
2025-06-11,2025-06-19,1,JOINT,0.2,CALL,stress,341.2500000000008,221.2499999999992,120.00000000000159,135.48929839250002,85.76070160749919,303
2025-07-08,2025-07-17,1,JOINT,0.2,CALL,stress,408.75000000000125,288.7499999999996,120.00000000000165,138.6313271225,150.1186728774996,303
2025-07-22,2025-07-31,1,JOINT,0.2,PUT,stress,750.0,629.9999999999982,120.00000000000176,124.313531735,505.6864682649982,303
2025-07-30,2025-08-07,1,JOINT,0.2,CALL,stress,360.0000000000008,239.99999999999918,120.00000000000165,130.60090988,109.39909011999919,303
2025-08-19,2025-08-28,1,JOINT,0.2,PUT,stress,-1158.749999999999,-1278.7500000000005,120.00000000000136,118.67853635750001,-1397.4285363575004,303
2025-08-21,2025-08-28,1,JOINT,0.2,PUT,stress,-626.2500000000001,-746.2500000000008,120.00000000000068,113.6105690375,-859.8605690375008,303
2025-08-28,2025-09-02,1,JOINT,0.2,PUT,stress,513.7500000000007,393.75,120.00000000000063,113.3547744575,280.3952255425,303
2025-09-30,2025-10-07,1,JOINT,0.2,PUT,stress,453.74999999999926,333.74999999999864,120.00000000000063,119.2444822025,214.50551779749864,303
2025-11-24,2025-12-02,1,JOINT,0.2,PUT,stress,1968.7499999999995,1848.7499999999986,120.00000000000091,131.60772754250002,1717.1422724574986,303
2025-12-02,2025-12-09,1,JOINT,0.2,CALL,stress,-1308.7499999999995,-1428.750000000001,120.00000000000136,127.85000198750001,-1556.600001987501,303
2025-12-15,2025-12-23,1,JOINT,0.2,PUT,stress,-1597.5000000000005,-1717.5000000000011,120.00000000000068,113.58220335499999,-1831.0822033550012,303
2025-12-16,2025-12-23,1,JOINT,0.2,CALL,stress,-1151.2500000000007,-1271.2500000000018,120.00000000000114,124.1129762525,-1395.3629762525018,303
2025-12-22,2025-12-30,1,JOINT,0.2,CALL,stress,191.24999999999926,71.24999999999861,120.00000000000065,124.6734591875,-53.42345918750139,303
2026-02-09,2026-02-17,1,JOINT,0.2,PUT,stress,-393.249999999999,-497.25000000000034,104.00000000000136,122.25097791450001,-619.5009779145004,303
2026-02-20,2026-03-02,1,JOINT,0.2,CALL,stress,1702.9999999999973,1598.9999999999982,103.99999999999909,153.26906616499997,1445.7309338349983,303
2026-02-23,2026-03-02,1,JOINT,0.2,PUT,stress,724.7499999999986,620.749999999997,104.00000000000159,130.59339247550002,490.156607524497,303
2026-03-02,2026-03-10,1,JOINT,0.2,CALL,stress,-867.7499999999982,-971.7499999999973,103.99999999999909,144.708438025495,-1116.4584380254923,303
2026-03-09,2026-03-17,1,JOINT,0.2,CALL,stress,1959.7500000000018,1855.7500000000082,103.99999999999363,208.062489611515,1647.6875103884931,303
2026-03-23,2026-03-30,1,JOINT,0.2,PUT,stress,835.2500000000009,731.2500000000073,103.99999999999363,189.34913088147502,541.9008691185322,303
2026-05-04,2026-05-12,1,JOINT,0.2,CALL,stress,-1325.9999999999982,-1429.9999999999982,104.0,156.06249519287,-1586.0624951928683,303
2026-05-18,2026-05-26,1,JOINT,0.2,PUT,stress,-1943.499999999999,-2047.4999999999982,103.99999999999909,153.47426090046002,-2200.9742609004584,303
2026-07-01,2026-07-14,1,JOINT,0.2,CALL,stress,591.4999999999997,487.5000000000018,103.99999999999784,162.58048043066,324.9195195693418,303
2026-07-02,2026-07-14,1,JOINT,0.2,PUT,stress,-695.5000000000011,-799.5000000000023,104.00000000000114,131.00591494391,-930.5059149439123,303
2021-07-02,2021-07-08,0,JOINT,0.4,PUT,stress,-937.4999999999999,-1017.5000000000002,80.00000000000034,104.31032179500001,-1121.8103217950002,303
2021-07-22,2021-07-22,0,JOINT,0.4,PUT,stress,-1357.5,-1427.5,70.0,95.206536075,-1522.706536075,303
2021-09-29,2021-09-30,0,JOINT,0.4,CALL,stress,1120.0,1039.9999999999995,80.00000000000043,104.93407186,935.0659281399995,303
2021-10-19,2021-10-21,0,JOINT,0.4,PUT,stress,2470.0,2389.9999999999995,80.00000000000045,115.33963351999999,2274.6603664799995,303
2021-10-21,2021-10-21,0,JOINT,0.4,CALL,stress,-2582.5000000000005,-2657.5,74.99999999999955,95.920629015,-2753.420629015,303
2021-12-29,2021-12-30,0,JOINT,0.4,CALL,stress,-772.5,-852.5000000000002,80.00000000000023,100.472360985,-952.9723609850003,303
2022-01-05,2022-01-06,0,JOINT,0.4,CALL,stress,3310.0,3229.999999999999,80.0000000000008,107.64149703999999,3122.358502959999,303
2022-02-28,2022-03-03,0,JOINT,0.4,CALL,stress,2784.999999999998,2705.0,79.99999999999818,150.68456576,2554.31543424,303
2022-05-26,2022-05-26,0,JOINT,0.4,PUT,stress,-2969.9999999999995,-3050.0,80.00000000000045,96.94098455,-3146.94098455,303
