day,expiry,bucket,feature,threshold,side,friction,raw_gross,execution_gross,slippage_cost,transaction_costs,net_pnl
2022-11-30,2022-12-01,0,OI_CHANGE_IMB,0.2,PUT,stress,-1197.5,-1277.4999999999998,79.99999999999983,97.55199670500001,-1375.0519967049997
2022-12-06,2022-12-08,0,OI_CHANGE_IMB,0.2,CALL,stress,874.9999999999998,794.9999999999991,80.00000000000057,108.23593198,686.7640680199991
2022-12-08,2022-12-08,0,OI_CHANGE_IMB,0.2,CALL,stress,-1022.5,-1102.4999999999998,79.99999999999976,95.866109435,-1198.3661094349998
2022-12-09,2022-12-15,0,OI_CHANGE_IMB,0.2,CALL,stress,-2352.5,-2432.4999999999995,79.99999999999955,102.885067265,-2535.3850672649996
2022-12-13,2022-12-15,0,OI_CHANGE_IMB,0.2,PUT,stress,-1179.9999999999998,-1260.0,80.00000000000017,100.75575733000001,-1360.75575733
2022-12-14,2022-12-15,0,OI_CHANGE_IMB,0.2,PUT,stress,217.5,137.50000000000009,79.9999999999999,99.42342755499999,38.076572445000096
2022-12-15,2022-12-15,0,OI_CHANGE_IMB,0.2,CALL,stress,-1775.0,-1845.0,70.0,95.33170931000001,-1940.33170931
2022-12-16,2022-12-22,0,OI_CHANGE_IMB,0.2,PUT,stress,2079.9999999999995,1999.9999999999989,80.00000000000068,112.80341017,1887.1965898299989
2022-12-20,2022-12-22,0,OI_CHANGE_IMB,0.2,CALL,stress,1872.5,1792.499999999999,80.00000000000074,107.118597165,1685.381402834999
2022-12-21,2022-12-22,0,OI_CHANGE_IMB,0.2,PUT,stress,5892.5,5812.5,80.0,114.199324845,5698.300675155
2022-12-22,2022-12-22,0,OI_CHANGE_IMB,0.2,CALL,stress,-2817.4999999999995,-2897.5000000000005,80.00000000000097,96.487436505,-2993.9874365050005
2022-12-23,2022-12-29,0,OI_CHANGE_IMB,0.2,CALL,stress,-3242.5000000000005,-3322.5000000000005,80.0,108.960155265,-3431.4601552650006
2022-12-26,2022-12-29,0,OI_CHANGE_IMB,0.2,PUT,stress,-1040.0000000000005,-1120.0000000000007,80.00000000000011,104.36982954000001,-1224.3698295400006
2022-12-28,2022-12-29,0,OI_CHANGE_IMB,0.2,PUT,stress,-1424.9999999999995,-1505.0,80.00000000000045,100.46496854,-1605.46496854
2022-12-29,2022-12-29,0,OI_CHANGE_IMB,0.2,CALL,stress,5177.5,5097.499999999999,80.0000000000009,105.351961415,4992.148038584999
2023-01-05,2023-01-05,0,OI_CHANGE_IMB,0.2,PUT,stress,3225.0,3144.9999999999995,80.00000000000043,103.36624467,3041.6337553299995
