mode,null_seed,feature,threshold,bucket,friction,trades,weeks,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,total_slippage,total_transaction_costs,raw_gross
NULL,202,VOL_IMB,0.2,1,base,271,165,-64696.385692157986,-392.09930722519994,-449.1034544449959,0.3212121212121212,-4672.158769887499,-6234.8757736974985,11027.99999999979,32563.885692158226,-21104.499999999978
NULL,202,VOL_IMB,0.4,0,base,86,75,-12384.895620579704,-165.13194160772937,-418.51069618500003,0.41333333333333333,-4488.4804695575,-5896.634840645,3736.24999999998,9462.39562057972,813.7499999999961
NULL,202,VOL_IMB,0.4,1,base,88,72,-20893.8240369962,-290.1920005138361,-345.7256616562489,0.3472222222222222,-2678.9337194,-2678.9337194,3603.9999999999345,10553.074036996284,-6736.749999999984
NULL,202,OI_CHANGE_IMB,0.2,0,base,473,226,2465.453163405895,10.909084793831457,-585.9654521100006,0.3893805309734513,-5752.371964475,-8317.268890424999,19998.749999999913,51995.29683659417,74459.5
NULL,202,OI_CHANGE_IMB,0.2,1,base,399,207,-51512.31164773756,-248.8517470905196,-277.42131344499535,0.41545893719806765,-4672.158769887499,-4819.266952464997,16423.999999999643,48857.56164773792,13769.250000000018
NULL,202,OI_CHANGE_IMB,0.4,0,base,248,168,-49479.490556670775,-294.5207771230403,-812.50760411375,0.3333333333333333,-5268.14100665,-6411.092207172502,10368.999999999975,26830.740556670782,-12279.750000000015
NULL,202,OI_CHANGE_IMB,0.4,1,base,248,162,-13799.449388371218,-85.18178634797044,-158.80948123374867,0.4506172839506173,-4672.158769887499,-4767.864206594993,10407.999999999764,30768.69938837146,27377.25000000002
NULL,202,JOINT,0.2,0,base,332,199,-17717.063034433282,-89.03046750971495,-424.05868118749976,0.4271356783919598,-4488.4804695575,-5974.940140375001,13806.249999999949,36333.31303443332,32422.49999999999
NULL,202,JOINT,0.2,1,base,287,184,-41841.2473728387,-227.39808354803637,-347.2533200249992,0.3804347826086957,-4672.158769887499,-4767.864206594993,11831.999999999753,34986.24737283896,4977.000000000001
NULL,202,JOINT,0.4,0,base,78,69,-23341.29437389663,-338.27962860719754,-788.4268526300003,0.3188405797101449,-4488.4804695575,-5276.845717770002,3310.4999999999864,8602.294373896644,-11428.5
