entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime,fold,stage
WED,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,12,12,12,14748.961316790288,13742.0636788665,0.8333333333333334,20.973476150896392,-8861.128351638501,-4305.961126838775,-5676.594665624,1.0,27184.719791666677,41042.62500000001,178727.25,1739.7141985165022,176987.53580148346,0.0097339057055737,False,stress,2,oos
FRI,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,10,10,10,14685.4415975419,13058.9023846445,0.9,14.789503178974238,-10649.724944357498,-2084.2613710623245,-10649.7249443575,1.0,26640.03875,50526.93749999998,148245.5,1391.0840245809995,146854.41597541902,0.0093836509343015,False,stress,2,oos
MON,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,11,11,11,14430.397868596408,17040.5372441665,0.8181818181818182,4.828229822409131,-29975.601414367997,-20732.085574563003,-29975.601414368,1.0,28616.04318181818,40735.49999999999,160592.25,1857.8734454395037,158734.37655456047,0.0115688860791196,False,stress,2,oos
WED,09:20,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,12,12,12,14104.115686471545,10376.310178467498,1.0,inf,0.0,4960.705986027849,3979.281915011997,1.0,26923.27083333333,44026.93749999998,170823.25,1573.861762341499,169249.38823765848,0.0092133931554486,False,stress,2,oos
WED,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,12,12,12,13818.917148989703,10999.115680312,0.75,4.146122314470045,-35275.16831947249,-18158.28014255772,-19901.41169234949,1.0,31196.086458333342,75467.43750000003,167690.25,1863.244212123499,165827.0057878765,0.0111112256802258,False,stress,2,oos
WED,09:20,second_nearest_weekly,sigma1,touch,add_short,no_stop,12,12,12,13533.835054298,10376.310178467498,1.0,inf,0.0,4994.278887429175,4053.8883625704975,1.0,26307.85625,44026.93749999998,163943.0,1536.979348423998,162406.020651576,0.0093750837085084,False,stress,2,oos
WED,11:00,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,12,12,12,13491.908973835209,10672.5668937455,0.9166666666666666,98.247275562709,-1664.8580307179946,732.7251276765992,-1664.8580307180011,1.0,25682.35312500001,39479.70000000002,163504.25,1601.3423139775018,161902.9076860225,0.0097938880119477,False,stress,2,oos
MON,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,11,11,11,13150.503438372316,17040.5372441665,0.8181818181818182,3.6043878092036863,-37935.977182765,-27771.504940795498,-37935.977182765,1.0,28616.04318181818,40735.49999999999,146519.75,1864.2121779044971,144655.53782209547,0.0127232825465815,False,stress,2,oos
WED,11:00,second_nearest_weekly,sigma1,touch,add_short,no_stop,12,12,12,13062.871725721585,9866.492884254749,0.9166666666666666,99.57211422938516,-1590.2515831595083,766.2980290779242,-1590.2515831595017,1.0,25322.022916666672,39479.70000000002,158320.5,1566.0392913409985,156754.460708659,0.0098915762099096,False,stress,2,oos
FRI,09:20,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,10,10,10,12747.015716008553,9301.00805870875,1.0,inf,0.0,6855.862833943649,6321.615794253,1.0,23658.878750000003,36222.54999999999,128735.75,1265.5928399145005,127470.1571600855,0.0098309353844173,False,stress,2,oos
