week,net_pnl,gross_pnl,costs,trading_days,positive
2024-02-26/2024-03-03,5437.126508200001,6255.000000000002,817.8734918,5,True
2024-03-04/2024-03-10,-6344.868026435,-5732.5,612.368026435,4,False
2024-03-11/2024-03-17,3161.10190876,3964.9999999999995,803.89809124,5,True
2024-03-18/2024-03-24,-3678.6196089999994,-2890.0,788.619609,5,False
2024-03-25/2024-03-31,-6221.068650575,-5777.5,443.568650575,3,False
2024-04-01/2024-04-07,-10093.536633125,-9332.5,761.036633125,5,False
2024-04-08/2024-04-14,-3578.9469658949984,-2972.499999999998,606.446965895,4,False
2024-04-15/2024-04-21,7849.7694222349965,8502.499999999996,652.730577765,4,True
2024-04-22/2024-04-28,-1780.9204969250004,-1017.5,763.420496925,5,False
2024-04-29/2024-05-05,1833.1694112624996,2433.7499999999995,600.5805887375,4,True
2024-05-06/2024-05-12,-547.8175654099991,210.00000000000068,757.81756541,5,False
2024-05-13/2024-05-19,-4265.836757177499,-3518.7499999999986,747.0867571775001,5,False
2024-05-20/2024-05-26,3656.4145103250007,4265.0,608.585489675,4,True
2024-05-27/2024-06-02,-4062.474538355001,-3252.500000000002,809.974538355,5,False
2024-06-03/2024-06-09,9233.21027553,10160.0,926.78972447,5,True
2024-06-10/2024-06-16,-6226.212731297499,-5468.749999999998,757.4627312975,5,False
2024-06-17/2024-06-23,-3468.211941215,-2880.0,588.211941215,4,False
2024-06-24/2024-06-30,962.9572561925006,1716.250000000001,753.2927438075001,5,True
2024-07-01/2024-07-07,-2901.383587739999,-2157.499999999999,743.88358774,5,False
2024-07-08/2024-07-14,-2207.4138336725,-1473.75,733.6638336725,5,False
2024-07-15/2024-07-21,387.95133057999874,1002.4999999999989,614.54866942,4,True
2024-07-22/2024-07-28,-3858.4669905525006,-3076.250000000002,782.2169905525,5,False
2024-07-29/2024-08-04,-3011.5061843250005,-2265.000000000001,746.5061843249999,5,False
2024-08-05/2024-08-11,-4624.046084857502,-3848.7500000000027,775.2960848575,5,False
2024-08-12/2024-08-18,-1897.2736672899998,-1297.4999999999998,599.77366729,4,False
2024-08-19/2024-08-25,-3510.4227917200005,-2775.0000000000005,735.42279172,5,False
2024-08-26/2024-09-01,-2929.9910068125,-2196.25,733.7410068125,5,False
2024-09-02/2024-09-08,-605.3165730725009,138.7499999999991,744.0665730725,5,False
2024-09-09/2024-09-15,5585.160061149999,6337.499999999998,752.33993885,5,True
2024-09-16/2024-09-22,2030.868720254999,2782.499999999999,751.631279745,5,True
2024-09-23/2024-09-29,-6229.263933107499,-5486.249999999999,743.0139331075,5,False
2024-09-30/2024-10-06,2799.9213200175004,3418.750000000001,618.8286799825,4,True
2024-10-07/2024-10-13,-6759.7501681875,-5988.75,771.0001681875001,5,False
2024-10-14/2024-10-20,884.6483028775001,1636.2500000000002,751.6016971225001,5,True
2024-10-21/2024-10-27,1702.742769627499,2466.249999999999,763.5072303725,5,True
2024-10-28/2024-11-03,-1166.1158980175007,-571.2500000000007,594.8658980175,4,False
2024-11-04/2024-11-10,-7091.72472524,-6315.0,776.72472524,5,False
2024-11-11/2024-11-17,295.1628841350007,897.5000000000005,602.337115865,4,True
2024-11-18/2024-11-24,21112.422286102505,21843.750000000004,731.3277138975,4,True
2024-11-25/2024-12-01,9919.718012804997,10822.499999999996,902.781987195,5,True
2024-12-02/2024-12-08,-10972.27178331,-10042.499999999998,929.7717833099999,5,False
2024-12-09/2024-12-15,-2295.655979602503,-1421.2500000000036,874.4059796025,5,False
2024-12-16/2024-12-22,-14959.845645704998,-14047.499999999996,912.345645705,5,False
2024-12-23/2024-12-29,-21407.205773572496,-20756.249999999996,650.9557735725,4,False
2024-12-30/2025-01-05,28809.997781654998,29737.499999999996,927.5022183450001,5,True
2025-01-06/2025-01-12,-3834.9120554024994,-2928.749999999999,906.1620554025,5,False
2025-01-13/2025-01-19,-18401.218842329996,-17564.999999999996,836.21884233,5,False
2025-01-20/2025-01-26,-7244.679401565001,-6352.500000000001,892.179401565,5,False
2025-01-27/2025-02-02,-45614.43051891,-44430.0,1184.43051891,6,False
2025-02-03/2025-02-09,-16774.98224217,-15937.5,837.4822421700001,5,False
2025-02-10/2025-02-16,-17651.352522982503,-16788.75,862.6025229825,5,False
2025-02-17/2025-02-23,-16653.9479008275,-15798.75,855.1979008275,5,False
2025-02-24/2025-03-02,-8979.7535544075,-8336.25,643.5035544074999,4,False
2025-03-03/2025-03-09,-7551.178772190001,-6735.000000000001,816.17877219,5,False
2025-03-10/2025-03-16,-4867.690485809997,-4229.999999999997,637.69048581,4,False
2025-03-17/2025-03-23,5465.6576480700005,6285.000000000002,819.34235193,5,True
2025-03-24/2025-03-30,-12017.170335187498,-11178.75,838.4203351875,5,False
2025-03-31/2025-04-06,-3295.3655408100026,-2632.5000000000027,662.86554081,4,False
2025-04-07/2025-04-13,12296.463013027498,13181.249999999998,884.7869869725,4,True
2025-04-14/2025-04-20,43701.69697003501,44242.50000000001,540.803029965,3,True
2025-04-21/2025-04-27,-10449.797153362499,-9588.749999999998,861.0471533625,5,False
2025-04-28/2025-05-04,-4626.043075679999,-3937.499999999998,688.54307568,4,False
2025-05-05/2025-05-11,-18991.62584067,-18105.0,886.62584067,5,False
2025-05-12/2025-05-18,53198.25443381249,54198.75,1000.4955661875,5,True
2025-05-19/2025-05-25,-2370.462232560004,-1455.0000000000045,915.46223256,5,False
2025-05-26/2025-06-01,-30369.5962469175,-29403.75,965.8462469174999,5,False
2025-06-02/2025-06-08,-1951.2674669325042,-1016.2500000000036,935.0174669324999,5,False
2025-06-09/2025-06-15,-9657.351863729997,-8797.5,859.85186373,5,False
2025-06-16/2025-06-22,10675.83177858,11550.0,874.16822142,5,True
2025-06-23/2025-06-29,-7336.726225117498,-6491.249999999997,845.4762251175,5,False
2025-06-30/2025-07-06,-9708.826503442499,-8891.249999999998,817.5765034425,5,False
2025-07-07/2025-07-13,-6096.199254757499,-5298.749999999999,797.4492547575,5,False
2025-07-14/2025-07-20,-5857.092483750002,-5070.000000000003,787.09248375,5,False
2025-07-21/2025-07-27,1610.5334629575002,2403.75,793.2165370425,5,True
2025-07-28/2025-08-03,-6512.818533419999,-5699.999999999999,812.81853342,5,False
2025-08-04/2025-08-10,-10936.9213051275,-10128.75,808.1713051275,5,False
2025-08-11/2025-08-17,-2422.0248824174987,-1796.249999999999,625.7748824175,4,False
2025-08-18/2025-08-24,-6818.076956789998,-6029.999999999998,788.0769567899999,5,False
2025-08-25/2025-08-31,-7604.2322977575,-6993.750000000001,610.4822977575,4,False
2025-09-01/2025-09-07,835.8475884974982,1623.7499999999982,787.9024115025,5,True
2025-09-08/2025-09-14,-5369.4355347149985,-4597.499999999999,771.935534715,5,False
2025-09-15/2025-09-21,-3346.7312945924987,-2583.749999999998,762.9812945925,5,False
2025-09-22/2025-09-28,-2810.0450529450004,-2190.0,620.045052945,4,False
2025-09-29/2025-10-05,-359.27829283500137,262.4999999999984,621.778292835,4,False
2025-10-06/2025-10-12,4246.061764822499,4871.249999999998,625.1882351775,4,True
2025-10-13/2025-10-19,-3756.8312324999997,-3465.0,291.8312325,2,False
2025-10-20/2025-10-26,-10950.076205325002,-10432.500000000002,517.576205325,3,False
2025-10-27/2025-11-02,-8820.39749424,-7995.0,825.39749424,5,False
2025-11-03/2025-11-09,-5620.6202781075,-4991.25,629.3702781075001,4,False
2025-11-10/2025-11-16,-4582.791515190001,-3757.5000000000005,825.29151519,5,False
2025-11-17/2025-11-23,-1370.507065934998,-547.4999999999982,823.007065935,5,False
2025-11-24/2025-11-30,2268.7463646525002,3078.7500000000005,810.0036353475,5,True
2025-12-01/2025-12-07,-5129.078860005,-4335.0,794.078860005,5,False
2025-12-08/2025-12-14,-993.4570717049992,-194.9999999999991,798.4570717050001,5,False
