expiry,entry_date,entry_offset,trigger,adjustment,cell_id,lot,net_pnl,adjustments,brokerage_cost
2021-07-15,2021-07-12,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,5903.7887003,0,106.2112997
2021-07-15,2021-07-13,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-309.6688774900009,1,394.66887749
2021-07-15,2021-07-13,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,4896.560556269999,0,103.43944373000002
2021-07-15,2021-07-13,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,4896.560556269999,0,103.43944373000002
2021-07-22,2021-07-15,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-5662.305975349998,2,627.3059753499999
2021-07-22,2021-07-15,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,6415.35991902,0,109.64008098
2021-07-22,2021-07-15,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,6415.35991902,0,109.64008098
2021-07-22,2021-07-16,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-7341.198372139998,2,626.19837214
2021-07-22,2021-07-16,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,6067.70013091,0,107.29986909
2021-07-22,2021-07-16,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,6067.70013091,0,107.29986909
2021-07-22,2021-07-19,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-6379.504800214998,2,617.0048002149999
2021-07-22,2021-07-19,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,5399.90273959,0,105.09726041
2021-07-22,2021-07-19,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,5399.90273959,0,105.09726041
2021-07-29,2021-07-23,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,1696.27496611,2,623.7250338900001
2021-07-29,2021-07-23,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,6072.28406328,0,107.71593671999999
2021-07-29,2021-07-23,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,6072.28406328,0,107.71593671999999
2021-07-29,2021-07-26,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-1452.6135860199993,2,612.6135860200001
2021-07-29,2021-07-26,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,5858.42012102,0,106.57987898
2021-07-29,2021-07-26,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,5858.42012102,0,106.57987898
2021-07-29,2021-07-27,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-2237.168458514999,2,609.668458515
2021-07-29,2021-07-27,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,5073.865248525,0,103.634751475
2021-07-29,2021-07-27,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,5073.865248525,0,103.634751475
2021-08-05,2021-07-30,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-7437.268402814998,2,624.7684028150001
2021-08-05,2021-07-30,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,6194.025176445,0,108.474823555
2021-08-05,2021-07-30,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,6194.025176445,0,108.474823555
2021-08-05,2021-08-02,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-8230.694354045,2,618.1943540450001
2021-08-05,2021-08-02,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,5372.5438880149995,0,104.956111985
2021-08-05,2021-08-02,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,5372.5438880149995,0,104.956111985
2021-08-05,2021-08-03,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-2981.9870628950002,2,614.487062895
2021-08-05,2021-08-03,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,5481.942112955,0,105.557887045
2021-08-05,2021-08-03,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,5481.942112955,0,105.557887045
2021-08-12,2021-08-06,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,218.59355276000167,2,611.4064472399999
2021-08-12,2021-08-06,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,6497.287748305,0,110.212251695
2021-08-12,2021-08-06,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,6497.287748305,0,110.212251695
2021-08-12,2021-08-09,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-114.32581428000026,2,604.32581428
2021-08-12,2021-08-09,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,6075.356838025,0,107.143161975
2021-08-12,2021-08-09,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,6075.356838025,0,107.143161975
2021-08-12,2021-08-10,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-1218.823752720001,2,598.8237527199999
2021-08-12,2021-08-10,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,5355.25454916,0,104.74545083999999
2021-08-12,2021-08-10,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,5355.25454916,0,104.74545083999999
2021-08-18,2021-08-12,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,2576.7584445549983,2,620.7415554449999
2021-08-18,2021-08-12,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,6515.50662116,0,109.49337884
2021-08-18,2021-08-12,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,6515.50662116,0,109.49337884
2021-08-18,2021-08-13,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,1537.729507370001,1,402.2704926299999
2021-08-18,2021-08-13,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,6079.596842815,0,107.903157185
2021-08-18,2021-08-13,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,6079.596842815,0,107.903157185
2021-08-18,2021-08-16,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-95.27633824499992,2,597.7763382449999
2021-08-18,2021-08-16,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,5613.46923097,0,106.53076902999999
2021-08-18,2021-08-16,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,5613.46923097,0,106.53076902999999
2021-08-26,2021-08-20,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,3261.741503885,1,410.75849611499996
2021-08-26,2021-08-20,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,6775.752999635,0,111.74700036499999
2021-08-26,2021-08-20,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,6775.752999635,0,111.74700036499999
2021-08-26,2021-08-23,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,1989.066331005,2,618.433668995
2021-08-26,2021-08-23,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,6194.726974615,0,107.773025385
2021-08-26,2021-08-23,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,6194.726974615,0,107.773025385
