variant_id,trades,total_net,mean_trade,win_rate,mean_active_day_net,median_active_day_net,profit_factor,max_drawdown,active_days,mean_weekly_net,median_weekly_net,positive_week_rate,completed_weeks,execution_coverage,target_qualified
13:00:00|p25|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,31,-22588.109284643637,-728.6486866014077,0.45161290322580644,-728.6486866014077,-330.2177936474991,0.6869307503928642,-28402.84986158601,31,-728.6486866014077,-330.2177936474991,0.45161290322580644,31,0.96875,False
13:00:00|p30|DIAGONAL_PREMIUM|adj11:00:00|stop1,31,-24012.263934735638,-774.5891591850205,0.4838709677419355,-774.5891591850205,-305.2248804450137,0.6976758765788436,-22729.431981217513,31,-774.5891591850205,-305.2248804450137,0.4838709677419355,31,0.96875,False
10:00:00|p25|DIAGONAL_PREMIUM|adj10:00:00|stop1.5,31,-24613.29906839063,-793.9773893029235,0.3870967741935484,-793.9773893029235,-700.1621496547957,0.6776730551052742,-33652.799157470516,31,-793.9773893029235,-700.1621496547957,0.3870967741935484,31,0.96875,False
10:00:00|p25|DIAGONAL_PREMIUM|adj09:30:00|stop1.5,31,-24642.091468193044,-794.906176393324,0.41935483870967744,-794.906176393324,-938.4194665893792,0.6668999323434097,-26759.736318210515,31,-794.906176393324,-938.4194665893792,0.41935483870967744,31,0.96875,False
11:00:00|p20|DIAGONAL_PREMIUM|adj10:00:00|stop1.5,31,-25324.753689018486,-816.927538355435,0.41935483870967744,-816.927538355435,-870.0564866550015,0.6025007709845185,-25490.261654827504,31,-816.927538355435,-870.0564866550015,0.41935483870967744,31,0.96875,False
13:00:00|p30|DIAGONAL_PREMIUM|adj09:30:00|stop1,31,-26594.05517289491,-857.872747512739,0.41935483870967744,-857.872747512739,-1473.6157193785,0.6621362461035254,-27242.07602245866,31,-857.872747512739,-1473.6157193785,0.41935483870967744,31,0.96875,False
14:00:00|p30|DIAGONAL_PREMIUM|adj11:00:00|stop1,32,-28824.62198286426,-900.7694369645081,0.46875,-900.7694369645081,-179.94347966549935,0.6386042573178015,-32491.250694235998,32,-900.7694369645081,-179.94347966549935,0.46875,32,1.0,False
14:00:00|p20|DIAGONAL_PREMIUM|adj10:00:00|stop1.5,32,-29567.798389735308,-923.9936996792284,0.34375,-923.9936996792284,-1533.285381356251,0.5613324753348592,-43751.08376798249,32,-923.9936996792284,-1533.285381356251,0.34375,32,1.0,False
11:00:00|p20|DIAGONAL_PREMIUM|adj09:30:00|stop1.5,31,-28698.781540825155,-925.7671464782309,0.25806451612903225,-925.7671464782309,-883.8828881650013,0.5493407469931884,-22320.765206223,31,-925.7671464782309,-883.8828881650013,0.25806451612903225,31,0.96875,False
09:30:00|p25|DIAGONAL_PREMIUM|adj09:30:00|stop1.5,31,-28853.765329515947,-930.7666235327725,0.3548387096774194,-930.7666235327725,-708.4260647024989,0.6165577076459509,-24264.048748903995,31,-930.7666235327725,-708.4260647024989,0.3548387096774194,31,0.96875,False
13:00:00|p30|DIAGONAL_PREMIUM|adj09:30:00|stop1.5,31,-28867.055927750705,-931.1953525080872,0.41935483870967744,-931.1953525080872,-1473.6157193785,0.6435521948974061,-29515.07677731445,31,-931.1953525080872,-1473.6157193785,0.41935483870967744,31,0.96875,False
10:00:00|p20|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,31,-29976.690834312307,-966.9900269133002,0.45161290322580644,-966.9900269133002,-452.70200663099945,0.4797010414619653,-25892.427631977764,31,-966.9900269133002,-452.70200663099945,0.45161290322580644,31,0.96875,False
09:30:00|p25|DIAGONAL_PREMIUM|adj10:00:00|stop1.5,31,-30481.978315659253,-983.2896230857824,0.41935483870967744,-983.2896230857824,-505.45856861999823,0.6125065484887334,-32438.9563180165,31,-983.2896230857824,-505.45856861999823,0.41935483870967744,31,0.96875,False
