entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime,fold,stage
FRI,09:20,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,20,20,20,5347.15394678035,3507.3335540175,0.9,5.232062698066072,-18041.689657107,-7768.722182853419,-18041.689657107,1.0,10924.52625,22534.6875,109343.0,2399.921064392999,106943.07893560705,0.0219485569665456,False,base,2,train
FRI,10:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,20,20,20,5224.662622796801,2302.91930650825,0.9,5.824633297363611,-19080.212499776,-3403.1734908511958,-19080.212499776,1.0,10827.841250000003,22437.99999999999,106887.5,2394.2475440639955,104493.252455936,0.0223996963542415,False,base,2,train
WED,10:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,19,19,19,5217.104418215696,3520.5399813542003,0.8421052631578947,3.195739061956902,-33381.349699241,-13438.527362102352,-28519.208630353,1.0,13538.352631578957,28856.74999999999,101494.3,2369.316053901798,99124.9839460982,0.0233443262715423,False,base,2,train
THU,11:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,18,18,18,5196.721661418118,3967.9276144575,0.8888888888888888,3.5040429620074063,-37355.9844318875,-12995.46117622412,-26795.8937012575,1.0,12188.85972222221,22849.124999999975,95773.85,2232.860094473897,93540.9899055261,0.0233138805057319,False,base,2,train
FRI,10:00,nearest_weekly,delta020,touch,add_short,no_stop,20,20,20,5074.355306000981,3576.0901069395004,0.8,3.793189687311072,-26747.2434744635,-7208.148035434418,-26747.2434744635,1.0,11404.285000000002,24095.49999999999,104025.1,2537.9938799804004,101487.1061200196,0.0243978989684258,False,base,2,train
TUE,11:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,19,19,19,5055.768011769412,3630.6128733831,0.7894736842105263,6.124396079828578,-13235.389978927298,-5895.536759221239,-10981.4031243829,1.0,14256.146710526316,25410.12500000001,98395.8,2336.207776381202,96059.5922236188,0.0237429623660888,False,base,2,train
FRI,10:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,20,20,20,5043.358297573635,3587.235496225,0.8,3.7539392718915696,-27134.0954839919,-7227.490635910838,-27134.0954839919,1.0,11495.09125,24095.49999999999,103427.95,2560.7840485273027,100867.16595147272,0.0247591105550028,False,base,2,train
TUE,09:20,nearest_weekly,delta020,touch,add_short,no_stop,19,19,19,5010.9521955390055,9218.2719594066,0.7368421052631579,2.2110078820427144,-35586.977690158004,-25071.87512959705,-29738.590445017,1.0,16171.746710526317,29157.37499999999,97763.35,2555.2582847588974,95208.09171524108,0.026137180085982,False,base,2,train
FRI,09:20,nearest_weekly,delta020,touch,add_short,no_stop,20,20,20,4926.027132211925,3699.8637879095,0.9,3.0961236524334628,-26000.770023955003,-21250.544706410143,-26000.770023955,1.0,11473.332499999997,24866.5625,101017.25,2496.7073557614967,98520.5426442385,0.0247156535716572,False,base,2,train
WED,11:00,nearest_weekly,sigma1,touch,add_short,no_stop,19,19,19,4925.974028755948,3380.600735125,0.7894736842105263,3.089397126988454,-36457.007866121,-10915.043087049697,-27370.329990574,1.0,13517.09144736842,28474.874999999996,95963.0,2369.4934536369983,93593.50654636302,0.0246917400835425,False,base,2,train
THU,11:00,nearest_weekly,delta020,touch,add_short,no_stop,18,18,18,4921.8676915583455,4976.9086816691,0.8333333333333334,2.166089868870499,-74573.172890708,-33809.055883562345,-42254.48724791349,1.0,12728.364583333332,24349.000000000025,90934.80000000002,2341.1815519498,88593.6184480502,0.0257457161829112,False,base,2,train
TUE,11:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,19,19,19,4836.527458939874,8386.0989022475,0.7368421052631579,2.228255026511172,-33404.3683792604,-20808.961236113348,-24225.5347117735,1.0,15686.868421052632,27713.56250000001,94469.1,2575.0782801424057,91894.0217198576,0.0272584186802076,False,base,2,train
TUE,11:00,nearest_weekly,delta020,touch,add_short,no_stop,19,19,19,4810.16001212471,8995.000333151,0.7368421052631579,2.264065193559893,-30742.48903181749,-19436.804947282748,-22596.3425239945,1.0,15532.881578947368,27713.56250000001,93943.75,2550.7097696305027,91393.04023036949,0.0271514578631415,False,base,2,train
FRI,09:20,nearest_weekly,sigma1,touch,add_short,no_stop,20,20,20,4737.222529823375,3221.4511764812496,0.9,4.779420240002962,-17840.474685707995,-7758.661434283469,-17840.474685707995,1.0,10614.795,18027.75,97079.75,2335.2994035325,94744.4505964675,0.0240554740152555,False,base,2,train
WED,09:20,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,19,19,19,4650.423731550426,3410.57456595,0.7894736842105263,2.7818178762759427,-41419.9760264075,-20488.00246411195,-20987.4699495685,1.0,13655.613157894735,28159.625000000025,90728.35,2370.2991005419017,88358.05089945809,0.0261252309839416,False,base,2,train
TUE,09:20,nearest_weekly,delta020,ninety_pct,add_short,no_stop,19,19,19,4649.636488836674,8064.041146452499,0.7368421052631579,2.1034005763126595,-37292.11230262629,-25571.60224727476,-31254.1935360385,1.0,16311.799342105263,29157.37499999999,90912.30000000002,2569.206712103195,88343.0932878968,0.0282602762453836,False,base,2,train
THU,11:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,18,18,18,4621.96436483454,5251.37048054,0.8333333333333334,2.1173409218960417,-72236.48290026799,-34033.3132145893,-39096.710358055,1.0,12848.562499999998,24349.000000000025,85552.55000000002,2357.191432978301,83195.35856702171,0.0275525560953858,False,base,2,train
FRI,09:20,nearest_weekly,delta020,ninety_pct,add_short,no_stop,20,20,20,4610.935970733949,3712.8453989675,0.9,2.900754336763088,-26513.543660746,-22228.871369768676,-26513.543660746,1.0,11473.332499999997,24866.5625,94706.5,2487.7805853209984,92218.71941467898,0.0262683193373316,False,base,2,train
THU,10:00,nearest_weekly,delta020,touch,add_short,no_stop,18,18,18,4423.440153549395,6874.68552144875,0.7777777777777778,1.881510166297836,-75981.67769050099,-34229.335541565095,-43364.41499337249,1.0,13231.786805555555,25987.8125,82019.85,2397.927236110898,79621.92276388913,0.0292359378383512,False,base,2,train
THU,10:00,second_nearest_weekly,sigma2,touch,add_short,no_stop,18,18,18,4419.931637903361,1372.82483952325,1.0,inf,0.0,497.4907731841,486.4666751355,1.0,20399.200694444444,28635.75,81431.25,1872.4805177395,79558.7694822605,0.0229946183773367,False,base,2,train
THU,11:00,second_nearest_weekly,sigma2,touch,add_short,no_stop,18,18,18,4412.597591528529,1344.995881859,1.0,inf,0.0,632.991474277325,470.239661313,1.0,20310.82152777777,28030.60000000001,81289.75,1862.9933524865016,79426.75664751351,0.0229179367938331,False,base,2,train
WED,11:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,19,19,19,4360.653054720869,4108.8200635025,0.7894736842105263,2.4094060764399576,-49659.206448707,-21493.668061153898,-28999.522178353,1.0,13598.09342105263,28474.874999999996,85230.25,2377.8419603034963,82852.4080396965,0.027899037727843,False,base,2,train
WED,10:00,nearest_weekly,delta020,touch,add_short,no_stop,19,19,19,4342.771753355737,4960.855263565,0.7894736842105263,1.9531642418066997,-62277.83013058551,-24725.46123053335,-39155.732358742,1.0,14209.348026315783,30973.31249999999,84992.5,2479.836686240998,82512.663313759,0.0291771237019854,False,base,2,train
FRI,11:00,second_nearest_weekly,sigma2,ninety_pct,add_short,no_stop,20,20,20,4289.260050096275,1437.73950701375,1.0,inf,0.0,472.657795116625,433.5323500975,1.0,19626.7,28335.9375,87893.75,2108.548998074498,85785.20100192551,0.0239897489647955,False,base,2,train
MON,11:00,second_nearest_weekly,sigma2,ninety_pct,add_short,no_stop,18,18,18,4287.279208236833,1351.11221783825,1.0,inf,0.0,638.554428585625,590.8095609925,1.0,17836.281944444447,27289.43749999998,79086.0,1914.974251737002,77171.025748263,0.0242138210522343,False,base,2,train
THU,10:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,18,18,18,4261.271822632896,7446.345384345001,0.7777777777777778,1.8224009029763777,-74339.50389166399,-35043.931635454595,-40206.63810351399,1.0,13355.109722222223,25987.8125,79120.35,2417.4571926078943,76702.89280739211,0.0305541771820763,False,base,2,train
WED,10:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,19,19,19,4235.850330143974,5060.5603209125,0.7894736842105263,1.9010837550449464,-64393.832733039504,-26240.41524100195,-39642.542773417,1.0,14344.924342105263,30973.31249999999,82978.25,2497.093727264498,80481.1562727355,0.0300933525021857,False,base,2,train
