week,net_pnl,gross_pnl,transaction_costs,slippage_cost,total_friction,trading_days,positive
2025-02-17/2025-02-23,-18071.20084988251,-17216.250000000007,854.9508498825,1417.500000000006,2272.450849882506,5,False
2025-02-24/2025-03-02,-10097.0792534625,-9453.75,643.3292534625,1117.5000000000014,1760.8292534625014,4,False
2025-03-03/2025-03-09,-9013.368067215004,-8197.500000000004,815.868067215,1462.5000000000023,2278.368067215002,5,False
2025-03-10/2025-03-16,-5977.526793869998,-5339.999999999998,637.5267938700001,1109.9999999999998,1747.52679387,4,False
2025-03-17/2025-03-23,4033.4259170250007,4852.500000000001,819.074082975,1432.4999999999975,2251.5740829749975,5,True
2025-03-24/2025-03-30,-13479.359630212497,-12641.249999999996,838.1096302125,1462.5000000000023,2300.6096302125025,5,False
2025-03-31/2025-04-06,-4405.201848870001,-3742.5000000000014,662.70184887,1109.9999999999993,1772.7018488699994,4,False
2025-04-07/2025-04-13,11164.158531982492,12048.749999999993,884.5914680175,1132.5000000000066,2017.0914680175065,4,True
2025-04-14/2025-04-20,42846.851566004996,43387.5,540.648433995,855.0000000000022,1395.648433995002,3,True
2025-04-21/2025-04-27,-11897.007666397503,-11036.250000000004,860.7576663975,1447.500000000004,2308.257666397504,5,False
2025-04-28/2025-05-04,-5750.858165730002,-5062.500000000002,688.35816573,1125.0000000000023,1813.3581657300024,4,False
2025-05-05/2025-05-11,-20468.793917685,-19582.5,886.293917685,1477.5000000000016,2363.793917685002,5,False
2025-05-12/2025-05-18,51728.5757477925,52728.75,1000.1742522075,1469.9999999999977,2470.174252207498,5,True
2025-05-19/2025-05-25,-3810.183354600007,-2895.0000000000073,915.1833546,1440.0000000000025,2355.1833546000025,5,False
2025-05-26/2025-06-01,-31831.785541942514,-30866.25000000001,965.5355419425,1462.500000000015,2428.035541942515,5,False
2025-06-02/2025-06-08,-3368.5204159875084,-2433.750000000009,934.7704159875,1417.5000000000077,2352.270415987508,5,False
2025-06-09/2025-06-15,-11127.030549750003,-10267.500000000004,859.53054975,1470.0000000000023,2329.530549750002,5,False
2025-06-16/2025-06-22,9236.110656539999,10110.0,873.88934346,1440.0000000000005,2313.8893434600004,5,True
2025-06-23/2025-06-29,-8821.383693127502,-7976.250000000002,845.1336931275,1485.000000000004,2330.133693127504,5,False
2025-06-30/2025-07-06,-11133.5688434925,-10316.25,817.3188434925,1424.999999999999,2242.318843492499,5,False
2025-07-07/2025-07-13,-7520.941594807497,-6723.749999999997,797.1915948075,1424.9999999999986,2222.191594807499,5,False
2025-07-14/2025-07-20,-7281.834823800002,-6495.000000000001,786.8348238,1424.9999999999989,2211.834823799999,5,False
2025-07-21/2025-07-27,185.79112290749973,978.75,792.9588770925,1424.9999999999986,2217.958877092499,5,True
2025-07-28/2025-08-03,-7997.476001430001,-7185.000000000001,812.47600143,1485.0000000000014,2297.4760014300014,5,False
2025-08-04/2025-08-10,-12354.174254182499,-11546.25,807.9242541825,1417.4999999999998,2225.4242541824997,5,False
2025-08-11/2025-08-17,-3546.839972467499,-2921.249999999999,625.5899724675,1124.9999999999989,1750.589972467499,4,False
2025-08-18/2025-08-24,-8227.840514849999,-7439.999999999998,787.84051485,1409.9999999999995,2197.8405148499996,5,False
2025-08-25/2025-08-31,-8751.515560792499,-8141.249999999999,610.2655607925,1147.4999999999986,1757.7655607924985,4,False
2025-09-01/2025-09-07,-588.8947515525019,198.74999999999795,787.6447515525,1425.0,2212.6447515524997,5,False
2025-09-08/2025-09-14,-6779.199092774997,-6007.499999999996,771.6990927749999,1409.9999999999977,2181.6990927749976,5,False
2025-09-15/2025-09-21,-4778.963025637497,-4016.249999999997,762.7130256375,1432.4999999999986,2195.2130256374985,5,False
2025-09-22/2025-09-28,-3912.391970009999,-3292.499999999999,619.89197001,1102.4999999999977,1722.3919700099977,4,False
2025-09-29/2025-10-05,-1491.5827738800017,-870.0000000000016,621.58277388,1132.5000000000007,1754.0827738800008,4,False
2025-10-06/2025-10-12,3121.246674772499,3746.2499999999986,625.0033252275,1125.0000000000005,1750.0033252275005,4,True
2025-10-13/2025-10-19,-4281.79182255,-3990.0,291.79182255,524.9999999999998,816.7918225499998,2,False
2025-10-20/2025-10-26,-11849.857955325004,-11332.500000000004,517.357955325,900.000000000002,1417.357955325002,3,False
2025-10-27/2025-11-02,-10267.608007275001,-9442.5,825.1080072750001,1447.5000000000005,2272.6080072750005,5,False
2025-11-03/2025-11-09,-6745.435368157499,-6116.25,629.1853681575,1124.9999999999995,1754.1853681574994,4,False
2025-11-10/2025-11-16,-5992.555073250001,-5167.500000000002,825.0550732500001,1410.000000000001,2235.055073250001,5,False
2025-11-17/2025-11-23,-2787.7600149899986,-1964.9999999999986,822.76001499,1417.499999999999,2240.260014989999,5,False
2025-11-24/2025-11-30,829.0252426124998,1638.7499999999995,809.7247573875,1440.0,2249.7247573874997,5,True
2025-12-01/2025-12-07,-6553.821200054999,-5760.0,793.821200055,1424.9999999999995,2218.8212000549997,5,False
2025-12-08/2025-12-14,-2425.688802749998,-1627.4999999999982,798.1888027499999,1432.4999999999993,2230.6888027499995,5,False
2025-12-15/2025-12-21,-9608.889197017497,-8831.249999999996,777.6391970175,1402.4999999999973,2180.1391970174973,5,False
