cell_id,entry_offset,entry_clock,sigma,adjustment,executed_weeks,mean_weekly_net,median_weekly_net,positive_week_rate,total_net,worst_week,profit_factor,weekly_max_drawdown,expected_shortfall_95,executed_week_coverage,target_pass_mean,target_pass_median,target_pass_positive_rate,target_pass_execution_coverage,preliminary_pass
AD30_02_100000_S2_REDUCE_AT_50PCT,-2,10:00:00,2.0,REDUCE_AT_50PCT,32,-581.6753141657169,350.94209619925005,0.84375,-18613.610053302942,-24133.7741782965,0.43549055622907273,27926.205620670575,-15187.942403885538,0.7619047619047619,False,False,True,False,False
AD30_02_100000_S2_REDUCE_AT_75PCT,-2,10:00:00,2.0,REDUCE_AT_75PCT,32,-541.0469343505498,461.97977261,0.9375,-17313.501899217594,-30935.7965649625,0.5343067104700231,33908.86393399058,-18588.95359721854,0.7619047619047619,False,False,True,False,False
AD30_03_093000_S1_NONE,-3,09:30:00,1.0,NONE,35,2126.5163711694354,2746.2440260850003,0.8571428571428571,74428.07299093025,-23467.54868529044,2.996667256424086,23467.548685290443,-14042.98558316172,0.8333333333333334,False,False,True,True,False
AD30_03_093000_S1_REDUCE_AT_50PCT,-3,09:30:00,1.0,REDUCE_AT_50PCT,35,288.80148836744866,428.792505794,0.6571428571428571,10108.052092860704,-6719.44798234267,1.3824265149037422,19081.870970598105,-6602.729960239585,0.8333333333333334,False,False,False,True,False
AD30_03_093000_S1_REDUCE_AT_75PCT,-3,09:30:00,1.0,REDUCE_AT_75PCT,35,-440.10856057516907,1211.924590945,0.6571428571428571,-15403.799620130918,-42801.398188936,0.7870237288690833,60161.95276193945,-24760.423085639333,0.8333333333333334,False,False,False,True,False
AD30_03_093000_S2_NONE,-3,09:30:00,2.0,NONE,28,991.163460934614,722.23262393375,1.0,27752.576906169194,270.75778924,inf,0.0,288.61052543025005,0.6666666666666666,False,False,True,False,False
AD30_03_093000_S2_REDUCE_AT_50PCT,-3,09:30:00,2.0,REDUCE_AT_50PCT,28,-328.90697295722305,591.11948098625,0.8571428571428571,-9209.395242802246,-20982.0254552125,0.6518268901588781,23271.550459381517,-12243.736805210616,0.6666666666666666,False,False,True,False,False
AD30_03_093000_S2_REDUCE_AT_75PCT,-3,09:30:00,2.0,REDUCE_AT_75PCT,28,37.38075124272608,676.4707428939626,0.8928571428571429,1046.6610347963301,-14934.3382471825,1.050227326869913,14934.3382471825,-10325.390929461715,0.6666666666666666,False,False,True,False,False
AD30_03_100000_S1_NONE,-3,10:00:00,1.0,NONE,35,2034.8189309723991,2997.1316529125,0.8571428571428571,71218.66258403397,-26517.56052538215,2.6110312823092867,26517.56052538215,-16642.817323601073,0.8333333333333334,False,False,True,True,False
AD30_03_100000_S1_REDUCE_AT_50PCT,-3,10:00:00,1.0,REDUCE_AT_50PCT,35,-907.6739773272262,430.69861999249997,0.5714285714285714,-31768.589206452918,-32808.1436462555,0.5085641115018678,54412.03510021352,-22889.661859094376,0.8333333333333334,False,False,False,True,False
AD30_03_100000_S1_REDUCE_AT_75PCT,-3,10:00:00,1.0,REDUCE_AT_75PCT,35,-638.2321075790554,753.3419822075,0.5714285714285714,-22338.12376526694,-35269.487311029,0.689012929661324,58910.98049464873,-24120.333691481126,0.8333333333333334,False,False,False,True,False
AD30_03_100000_S2_NONE,-3,10:00:00,2.0,NONE,26,1046.3174869407287,787.757823635,1.0,27204.254660458944,267.5184284465,inf,0.0,277.25463674,0.6190476190476191,False,False,True,False,False
AD30_03_100000_S2_REDUCE_AT_50PCT,-3,10:00:00,2.0,REDUCE_AT_50PCT,26,-406.13825098900094,549.82325793875,0.8076923076923077,-10559.594525714025,-18595.6885722825,0.5687666069184145,21518.953047427676,-10718.256291112815,0.6190476190476191,False,False,True,False,False
AD30_03_100000_S2_REDUCE_AT_75PCT,-3,10:00:00,2.0,REDUCE_AT_75PCT,26,-46.302619413002084,667.9310534675,0.9230769230769231,-1203.8681047380542,-23713.4625859595,0.9498021611017348,23713.4625859595,-11991.23439534825,0.6190476190476191,False,False,True,False,False
